省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,pH类别,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/2 0:00,Ⅲ,10.3,7.83,-,10.61,1.53,0.12,0.098,1.4,230.9,35.3,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 0:00,Ⅱ,9.7,7.68,-,10.28,1.88,0.14,0.033,1.16,194.1,66,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 4:00,Ⅰ,14.6,6.69,-,8.97,0.39,0.1,0.006,0.69,113.2,1.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 4:00,Ⅰ,14.6,7.85,-,8.52,0.39,0.025,0.007,0.56,109.6,2.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 4:00,Ⅱ,14.8,7.44,-,13.29,0.58,0.08,0.011,0.98,137.9,2.1,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 4:00,Ⅱ,10.1,7.55,-,10.14,1.38,0.066,0.042,1.52,236.6,7.4,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/2 4:00,Ⅱ,11.4,7.44,-,8.67,2.16,0.069,0.032,0.98,194.8,16.8,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 4:00,Ⅱ,7.8,7.99,-,10.42,1.7,0.144,0.048,1.9,423.8,13.4,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 4:00,Ⅱ,7.8,8.67,-,12.95,1.3,0.178,0.047,1.63,234.8,19.7,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/2 4:00,Ⅱ,12.8,7.22,-,8.19,0.25,0.025,0.021,1.26,164.1,14.4,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/2 4:00,Ⅱ,10.3,7.85,-,10.56,1.62,0.12,0.083,1.12,230.8,28,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 4:00,Ⅱ,9.4,7.65,-,9.39,1.87,0.192,0.038,1.24,210.3,75.4,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 8:00,Ⅰ,14.7,6.67,-,9.12,0.72,0.03,0.005,0.72,113.2,1.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 8:00,Ⅰ,14.6,7.85,-,8.45,0.48,0.025,0.005,0.59,109.5,2.1,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 8:00,Ⅱ,14.7,7.46,-,13.33,0.74,0.09,0.01,0.97,138.1,2.1,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 8:00,Ⅱ,10.1,7.54,-,10.06,1.84,0.065,0.039,1.78,230.8,10.9,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/2 8:00,Ⅱ,11.5,7.43,-,10.03,2.28,0.078,0.035,1.03,196.5,24.4,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 8:00,Ⅱ,7.5,7.93,-,10.18,1.56,0.151,0.049,2.21,429.2,12.4,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 8:00,Ⅱ,8,8.64,-,12.9,1.4,0.161,0.036,6.34,233.2,19.3,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/2 8:00,Ⅰ,12.7,7.21,-,8.27,1.01,0.025,0.017,1.41,165.5,14.3,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/2 8:00,Ⅱ,10.4,7.72,-,10.37,1.62,0.12,0.083,1.12,230.6,24,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 8:00,Ⅱ,9.1,7.6,-,9.6,1.87,0.23,0.038,1.29,212.8,48.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 12:00,Ⅰ,14.9,6.73,-,9.16,0.55,0.03,0.005,0.74,113.1,1.5,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 12:00,Ⅰ,15,7.88,-,8.67,0.4,0.025,0.005,0.54,109.5,2.1,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 12:00,Ⅰ,15.2,7.51,-,13.42,0.71,0.09,0.009,0.96,138.5,1.8,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 12:00,Ⅱ,10.1,7.57,-,10.13,1.56,0.061,0.041,1.67,232,8.3,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/2 12:00,Ⅱ,11.3,7.64,-,9.12,2.21,0.065,0.036,1.03,196.1,19.9,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 12:00,Ⅱ,8.1,7.86,-,10.23,2.04,0.207,0.051,2.23,439,12.2,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 12:00,Ⅱ,10.2,8.6,-,12.31,1.4,0.141,0.022,8.72,236.6,18.7,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/2 12:00,Ⅰ,13,7.22,-,8.46,1.4,0.025,0.015,1.56,164.2,14.1,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/2 12:00,Ⅱ,10.5,7.8,-,10.48,1.62,0.12,0.083,1.12,228.6,22.2,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 12:00,Ⅱ,9.6,7.65,-,9.37,1.86,0.207,0.038,1.28,212.1,52.4,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 16:00,Ⅰ,14.9,6.73,-,9.11,0.67,0.04,0.007,0.63,113,1.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 16:00,Ⅰ,15,7.91,-,8.78,0.44,0.025,0.005,0.52,109.6,2.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 16:00,Ⅱ,15.2,7.53,-,13.51,0.73,0.09,0.01,0.86,137.5,1.8,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 16:00,Ⅱ,10.3,7.59,-,10.28,1.64,0.063,0.044,1.25,233.1,7,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/2 16:00,Ⅱ,12.3,7.53,-,9.76,2.16,0.056,0.034,1.06,197.2,20,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 16:00,Ⅱ,8.6,7.81,-,10.21,2.12,0.278,0.056,2.17,450.4,11.7,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 16:00,Ⅱ,10.9,8.48,-,12.06,1,0.141,0.07,1.59,242,17.5,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/2 16:00,Ⅰ,13.2,7.28,-,8.38,1.1,0.025,0.02,1.41,160.5,13.9,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/2 16:00,Ⅲ,10.6,7.8,-,10.44,1.58,0.1,0.154,1.01,226.2,37.1,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 16:00,Ⅱ,9.7,7.65,-,10.37,1.84,0.218,0.039,1.28,209.9,64.3,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 20:00,Ⅰ,14.6,6.67,-,9.05,0.53,0.03,0.009,0.77,113.4,1.7,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 20:00,Ⅰ,14.8,7.88,-,8.67,0.45,0.025,0.005,0.41,109.5,2.1,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 20:00,Ⅰ,14.9,7.5,-,13.74,0.67,0.12,0.008,0.91,138.2,2.2,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 20:00,Ⅱ,9.3,7.48,-,9.27,1.65,0.064,0.03,1.38,224.6,17.8,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/2 20:00,Ⅱ,12,7.49,-,8.74,2.37,0.055,0.035,1.09,195.5,21.3,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 20:00,Ⅱ,8.5,7.77,-,10.08,2.66,0.338,0.059,2.12,463.5,14,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 20:00,Ⅱ,10.1,8.47,-,12.24,1.4,0.116,0.045,0.84,238.1,37.6,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/2 20:00,Ⅰ,13,7.25,-,8.21,1.12,0.025,0.019,1.65,163.9,14.4,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/2 20:00,Ⅲ,10.6,7.88,-,10.62,1.45,0.11,0.11,1.17,228.6,35.3,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 20:00,Ⅱ,9.8,7.66,-,9.53,1.79,0.235,0.04,1.22,211.5,60.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 0:00,Ⅰ,14.5,6.68,-,9.17,0.5,0.04,0.005,0.71,113.4,1.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 0:00,Ⅰ,14.7,7.87,-,8.56,0.3,0.025,0.016,0.56,109.6,2.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 0:00,Ⅰ,14.8,7.46,-,13.33,0.57,0.08,0.009,0.97,139.9,2.1,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 0:00,Ⅱ,9.7,7.51,-,9.7,1.53,0.061,0.033,1.5,226.2,12.3,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/3 0:00,Ⅱ,11.8,7.47,-,8.56,2.51,0.051,0.031,0.84,191.2,15.8,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 0:00,Ⅱ,8.3,7.75,-,10.14,2.12,0.358,0.059,2.22,472.4,15.1,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 0:00,Ⅱ,9.1,8.6,-,12.59,1.4,0.097,0.035,0.88,241,26,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/3 0:00,Ⅰ,12.9,7.24,-,8.33,1.14,0.025,0.016,1.58,164.4,14.2,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/3 0:00,Ⅲ,10.6,7.89,-,10.66,1.11,0.1,0.091,1.27,225.5,25.7,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 0:00,Ⅱ,9.6,7.65,-,9.18,1.83,0.242,0.041,1.2,213.7,56.8,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 4:00,Ⅰ,14.5,6.69,-,9.02,0.55,0.1,0.009,0.64,113.3,1.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 4:00,-3,14.5,7.87,-,8.6,-1,0.025,0.005,0.45,109.6,2.1,-2,-2,维护
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 4:00,Ⅰ,14.7,7.46,-,13.19,0.55,0.08,0.009,0.99,139,2.9,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 4:00,Ⅱ,10,7.56,-,10,1.66,0.067,0.044,1.39,234.1,8.3,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/3 4:00,Ⅱ,11.6,7.46,-,8.68,2.43,0.046,0.031,0.9,191.4,15.1,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 4:00,Ⅱ,8.1,7.77,-,10.45,2.38,0.333,0.055,2.06,474.9,15.9,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 4:00,Ⅱ,8.5,8.61,-,12.75,1.4,0.09,0.038,0.88,241.2,22.2,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/3 4:00,Ⅰ,12.6,7.22,-,8.3,1.06,0.025,0.015,1.37,164.7,14.1,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/3 4:00,Ⅱ,10.8,7.82,-,10.57,0.99,0.1,0.068,1.52,222.3,21.1,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 4:00,Ⅱ,9.3,7.63,-,9.32,2.02,0.243,0.041,1.27,219.2,49.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 8:00,Ⅰ,14.5,6.66,-,9.14,0.64,0.04,0.008,0.64,113.3,1.6,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/3 8:00,Ⅲ,8,7.76,-,13.49,4.32,0.482,0.095,1.98,354.8,188.3,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 8:00,Ⅰ,14.6,7.87,-,8.57,0.43,0.025,0.005,0.74,109.5,2.1,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 8:00,Ⅰ,14.7,7.47,-,12.96,0.78,0.08,0.009,0.88,138.3,2.1,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 8:00,Ⅱ,9.9,7.55,-,9.94,2.29,0.069,0.033,3.98,233,9.1,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/3 8:00,Ⅱ,11.4,7.45,-,8.83,2.29,0.057,0.032,0.93,192,16.6,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 8:00,Ⅱ,8,7.81,-,10.7,1.89,0.306,0.055,2.51,470.8,15.3,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 8:00,Ⅱ,8.8,8.57,-,12.67,1.3,0.076,0.039,0.91,236.2,23.9,-2,-2,正常
