监测时间,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
2022/1/2 12:00,11.07,7.81,11.862,1.773,0.0839,0.0629,1.163,250.9,18.1
2022/1/2 12:00,12.03,7.92,8.808,1.587,0.0308,0.0394,2.064,285.7,7.6
2022/1/2 12:00,8.71,7.38,10.275,2.407,0.1733,0.0551,1.7,385.1,20
2022/1/2 12:00,14.35,8.62,13.23,0.92,0.025,0.01,1.06,127.81,4.91
2022/1/2 12:00,15.25,7.09,8.2,1.32,0.025,0.012,1.221,158.63,11.84
2022/1/2 12:00,12.24,7.57,9.751,1.131,0.11,0.0637,2.353,310.3,11.2
2022/1/2 12:00,10.69,7.509,9.532,2.68,0.1532,0.0973,2.3242,315.185,151.755
2022/1/2 16:00,15.93,7.166,8.398,0.69,0.0341,0.0063,0.8979,118.641,1.971
2022/1/2 16:00,9.99,8.17,9.54,3.55,0.28,0.17,3.25,463.04,277.7
2022/1/2 16:00,16.37,8.447,8.74,0.5864,0.025,0.005,0.7646,115.34,2.743
2022/1/2 16:00,10.16,8.24,10.055,2.853,0.21,0.068,1.721,366.2,11.8
2022/1/2 16:00,15.95,7.788,8.851,1.88,0.025,0.0169,0.355,136.986,2.047
2022/1/2 16:00,11.59,7.94,11.787,1.843,0.0905,0.0735,1.033,247.2,22.5
2022/1/2 16:00,12.43,7.98,9.278,1.61,0.025,0.0449,1.937,284.1,8.3
2022/1/2 16:00,9.14,7.37,10.437,2.745,0.1664,0.0539,1.451,389.2,17.1
2022/1/2 16:00,14.56,8.66,13.36,1.1,0.025,0.01,1.04,128.24,4.72
2022/1/2 16:00,12.33,7.39,11.386,2,0.0682,0.0389,2.602,303,10.2
2022/1/2 16:00,15.32,7.13,8.17,1.216,0.025,0.011,1.137,158.09,11.75
2022/1/2 16:00,11.16,7.65,10.318,1.464,0.11,0.0477,2.555,352.5,20.5
2022/1/2 20:00,15.49,7.164,8.132,0.71,0.035,0.0074,0.7364,118.512,2.136
2022/1/2 20:00,9.5,8.17,9.67,3.09,0.3,0.16,3.28,464.99,200.46
2022/1/2 20:00,15.89,8.449,8.713,0.4312,0.025,0.005,0.7856,115.306,2.7
2022/1/2 20:00,9.79,8.19,9.651,2.969,0.2,0.0673,1.708,365.8,13.2
2022/1/2 20:00,15.61,7.779,8.932,1.86,0.025,0.0153,0.4743,137.197,2.152
2022/1/2 20:00,11.47,7.59,11.77,2.288,0.0314,0.0505,1.824,303.4,34.2
2022/1/2 20:00,12.13,8.05,9.108,1.796,0.025,0.0456,1.913,286.8,11.4
2022/1/2 20:00,8.5,7.38,10.12,2.363,0.1664,0.0554,1.905,407.9,16.7
2022/1/2 20:00,14.06,8.47,12.6,0.89,0.025,0.01,1.07,124.75,5.27
2022/1/2 20:00,10.95,7.52,11.79,1.5,0.0601,0.0422,2.505,317.1,21.6
2022/1/2 20:00,14.8,7.07,7.94,1.077,0.025,0.012,1.082,157.99,11.67
2022/1/2 20:00,11.95,7.62,9.851,1.481,0.11,0.0464,2.758,328.6,17.9
2022/1/3 0:00,15.41,7.135,7.993,0.71,0.0408,0.0085,0.8915,118.294,2.136
2022/1/3 0:00,9.26,8.16,9.68,2.81,0.26,0.16,3.29,463.8,181.01
2022/1/3 0:00,15.71,8.413,8.657,0.4837,0.025,0.005,0.7751,115.284,2.714
2022/1/3 0:00,9.49,8.19,9.531,2.762,0.2,0.0612,1.723,362.2,11.1
2022/1/3 0:00,15.37,7.776,8.774,3.08,0.025,0.0175,0.3672,137.06,2.283
2022/1/3 0:00,11.07,7.75,11.834,1.86,0.0424,0.0518,1.464,293.6,24.2
2022/1/3 0:00,11.83,7.82,9.309,1.742,0.0355,0.0418,1.844,284.1,9.7
2022/1/3 0:00,8.6,7.24,9.823,2.537,0.1664,0.0545,1.841,414.3,16.4
2022/1/3 0:00,14.05,8.45,12.39,0.88,0.025,0.01,1.11,127.36,5.22
2022/1/3 0:00,10.21,7.59,11.974,1.7,0.0456,0.039,2.397,321.9,17.8
2022/1/3 0:00,14.68,7.05,7.91,1.402,0.025,0.012,1.068,157.58,12.05
2022/1/3 0:00,11.8,7.66,9.991,1.242,0.1,0.0413,2.328,330.7,30.9
2022/1/3 0:00,10.24,7.455,9.492,2.74,0.1669,0.1229,2.289,347.329,183.528
2022/1/3 4:00,15.37,7.146,8.066,0.77,0.0333,0.0071,0.8269,118.413,2.077
2022/1/3 4:00,9.09,8.16,9.71,2.22,0.3,0.15,3.32,460.61,166.35
2022/1/3 4:00,15.63,8.404,8.642,0.5466,0.025,0.005,0.8576,115.344,2.81
2022/1/3 4:00,9.26,8.19,9.52,2.762,0.2,0.0554,1.718,360.7,9.4
2022/1/3 4:00,15.29,7.73,8.82,4.23,0.025,0.0167,0.2815,134.004,2.346
2022/1/3 4:00,10.55,7.86,11.725,2.029,0.0553,0.0541,1.36,280.4,24.6
2022/1/3 4:00,11.73,7.76,8.657,1.688,0.0324,0.04,1.769,282,7.9
2022/1/3 4:00,8.29,7.19,9.543,2.997,0.1664,0.0656,1.928,426.6,15.9
2022/1/3 4:00,13.96,8.4,12.24,0.92,0.025,0.01,10.36,125.6,4.95
2022/1/3 4:00,9.86,7.59,12.057,1.6,0.0408,0.0427,2.287,315.7,18.2
2022/1/3 4:00,14.63,7.05,7.94,1.471,0.025,0.012,1.012,157.38,11.89
2022/1/3 4:00,11.2,7.71,10.326,1.525,0.1,0.0458,3.026,350.9,52.1
2022/1/3 4:00,10.09,7.41,9.429,2.15,0.1554,0.1206,2.5138,357.185,190.181
2022/1/3 8:00,15.36,7.151,8.052,0.74,0.0307,0.0097,0.6266,118.362,2.086
2022/1/3 8:00,9.17,8.14,9.6,2.95,0.3,0.15,2.21,454.92,199.63
2022/1/3 8:00,15.65,8.391,8.609,0.5669,0.025,0.005,1.0306,115.434,2.742
2022/1/3 8:00,9.05,8.19,9.498,2.812,0.19,0.056,1.623,359.7,13.1
2022/1/3 8:00,15.22,7.769,9.035,2.14,0.025,0.0161,0.3764,133.331,2.319
2022/1/3 8:00,10.81,8.26,11.957,2.17,0.0434,0.0531,2.207,306.8,25.3
2022/1/3 8:00,11.33,7.78,9.993,1.688,0.0324,0.04,1.769,284.3,17.9
2022/1/3 8:00,7.87,7.11,9.28,1.955,0.3391,0.0637,2.738,442.9,16.2
2022/1/3 8:00,13.93,8.39,12.25,0.93,0.025,0.01,9.21,124.76,4.94
2022/1/3 8:00,9.77,7.56,12.106,1.4,0.0427,0.0411,2.399,308.5,12.9
2022/1/3 8:00,14.61,7.04,7.93,1.239,0.025,0.012,1.117,158.07,11.73
2022/1/3 8:00,11.82,7.64,9.848,1.026,0.11,0.0387,2.288,328.3,25.5
2022/1/3 8:00,10.06,7.439,9.426,2.28,0.1599,0.1142,2.5994,377.026,175.015
2022/1/3 12:00,15.89,7.19,8.336,0.7,0.0343,0.0074,0.8398,118.539,1.996
2022/1/3 12:00,10.19,8.12,9.48,3.1,0.29,0.16,2.58,455.65,203.63
2022/1/3 12:00,15.91,8.415,8.71,0.4821,0.025,0.005,0.7562,115.269,2.674
2022/1/3 12:00,10.04,8.31,10.337,2.812,0.14,0.0509,1.635,358.7,8.5
2022/1/3 12:00,15.63,7.817,9.056,3,0.025,0.0153,0.3519,132.336,2.017
2022/1/3 12:00,11.35,7.78,12.131,2.029,0.0533,0.0528,1.745,282.3,25.5
2022/1/3 12:00,12.13,7.77,8.781,1.742,0.025,0.0405,2.065,282.6,11.4
2022/1/3 12:00,8.39,7.1,9.234,2.893,0.3914,0.0685,2.467,450.9,15.3
2022/1/3 12:00,14.64,8.36,12.12,0.89,0.025,0.01,3.29,123.84,4.86
2022/1/3 12:00,11.76,7.62,11.661,1.5,0.0438,0.0385,2.44,306.7,12.6
2022/1/3 12:00,15.04,7.07,8.18,1.39,0.025,0.014,1.151,157.72,12.18
2022/1/3 12:00,11.73,7.69,10.044,1.286,0.1,0.066,2.596,333.1,32
2022/1/3 16:00,16.09,7.214,8.375,0.61,0.0408,0.005,0.8075,118.465,1.912
2022/1/3 16:00,10.33,8.14,10.01,3.22,0.28,0.16,3.66,448.36,237.36
2022/1/3 16:00,16.14,8.439,8.736,0.5168,0.025,0.005,0.8079,115.52,2.633
2022/1/3 16:00,10.21,8.28,10.089,2.823,0.13,0.0623,1.737,358.6,12.7
2022/1/3 16:00,15.9,7.874,9.05,3.62,0.025,0.0159,0.2907,133.04,1.915
2022/1/3 16:00,11.98,7.78,11.94,2.023,0.0623,0.0547,1.27,275,25.7
2022/1/3 16:00,12.53,7.87,9.113,1.587,0.0444,0.0394,1.95,281.1,15.5
2022/1/3 16:00,9.14,7.09,9.104,1.964,0.4043,0.0679,2.377,452.9,14.8
2022/1/3 16:00,14.67,8.37,12.07,0.92,0.025,0.01,1.69,123.36,5.47
2022/1/3 16:00,12.55,7.46,11.331,1.4,0.0496,0.0389,2.368,305.9,21.4
2022/1/3 16:00,15.64,7.17,8.44,1.251,0.025,0.011,1.103,156.56,11.99
2022/1/3 16:00,11.35,7.76,10.26,1.947,0.11,0.0829,2.557,348,75.9
2022/1/3 16:00,10.51,7.593,9.124,4.88,0.1929,0.1228,2.5902,849.35,214.408
2022/1/3 20:00,15.4,7.154,8.062,0.63,0.0288,0.0097,0.7687,118.498,2.091
2022/1/3 20:00,9.82,8.16,9.66,2.9,0.28,0.16,3.06,445.04,181.92
2022/1/3 20:00,15.69,8.42,8.665,0.7241,0.025,0.005,0.7843,115.379,2.766
2022/1/3 20:00,9.82,8.25,9.777,2.828,0.15,0.054,1.703,359,9.3
2022/1/3 20:00,15.58,7.83,8.878,4.08,0.025,0.0161,0.2723,133.406,1.93
2022/1/3 20:00,11.73,7.84,11.689,2.288,0.025,0.0449,1.595,302.9,31.3
2022/1/3 20:00,12.03,7.77,8.565,1.533,0.0454,0.0386,2.004,270.9,14.4
2022/1/3 20:00,9.15,7.08,9.583,2.685,0.4321,0.073,2.475,454.6,15.6
2022/1/3 20:00,11.12,7.6,11.747,0.8,0.0446,0.0409,2.23,324.9,45.8
2022/1/3 20:00,14.82,7.07,8.02,1.564,0.025,0.013,1.068,157.61,11.98
2022/1/3 20:00,11.75,7.67,9.96,1.281,0.11,0.0764,2.604,334.2,46.1
2022/1/3 20:00,9.98,7.615,9.065,4.88,0.2344,0.1224,2.5341,1108.333,182.532
2022/1/4 0:00,15.3,7.122,7.918,0.76,0.0426,0.005,0.7623,118.513,2.127
2022/1/4 0:00,9.64,8.15,10.19,1.85,0.3,0.13,3.56,441.91,183.12
2022/1/4 0:00,15.59,8.397,8.638,0.5668,0.025,0.005,0.8003,115.175,2.759
2022/1/4 0:00,9.61,8.22,9.72,2.782,0.14,0.0561,1.729,357.9,9.5
2022/1/4 0:00,15.38,7.814,8.863,3.88,0.025,0.015,0.306,133.836,1.938
2022/1/4 0:00,11.34,7.84,11.514,2.218,0.036,0.047,1.4,299.6,27.2
2022/1/4 0:00,11.93,7.7,8.562,1.494,0.0506,0.0365,1.808,265.2,9
2022/1/4 0:00,9.03,7.1,9.109,2.537,0.4681,0.0765,2.729,453.7,14.3
2022/1/4 0:00,10.55,7.63,11.868,1.7,0.0547,0.0403,2.397,324.7,28.6
2022/1/4 0:00,14.67,7.06,8.04,1.274,0.025,0.012,1.179,157.54,11.86
2022/1/4 0:00,11.49,7.71,10.159,1.592,0.11,0.0712,2.417,348.2,72.8
2022/1/4 0:00,9.94,7.665,9.2,1.88,0.2594,0.1349,2.4174,1119.131,252.801
2022/1/4 8:00,9.24,8.22,9.672,2.823,0.17,0.0556,1.587,358.2,8.5
2022/1/4 8:00,11.07,7.71,11.669,2.246,0.036,0.0496,2.044,302.3,28.5
2022/1/4 8:00,11.63,7.68,8.633,1.595,0.073,0.037,2.134,267.8,13.5
2022/1/4 8:00,8.5,7.07,8.895,2.12,0.3892,0.0692,3.092,455.4,14.8
2022/1/4 8:00,14.79,8.19,10.89,0.82,0.025,0.01,1.54,119.21,4.48
2022/1/4 8:00,10.2,7.61,11.934,1.3,0.0361,0.0409,2.394,311,18.9
2022/1/4 8:00,14.69,7.05,8.1,1.448,0.025,0.011,1.186,156.5,12.13
2022/1/4 8:00,11.83,7.68,9.911,1.364,0.11,0.0276,2.652,329.9,42.1
2022/1/4 12:00,15.54,7.187,8.273,1.68,0.0348,0.005,0.8075,118.32,1.958
2022/1/4 12:00,10.68,8.2,8.61,5.05,0.24,0.21,2.81,462.97,323.85
2022/1/4 12:00,15.7,8.413,8.75,0.5485,0.025,0.005,0.7895,115.428,2.748
2022/1/4 12:00,9.94,8.27,10.037,2.767,0.14,0.0565,1.674,355.4,10.5
2022/1/4 12:00,15.5,7.784,8.711,1.81,0.025,0.0156,0.2876,133.455,2.026
2022/1/4 12:00,11.6,7.69,12.209,2.1,0.0585,0.052,2.239,287.5,24.1
2022/1/4 12:00,12.03,7.7,8.648,1.417,0.0759,0.0342,1.95,250.4,9.9
2022/1/4 12:00,8.79,7.07,8.937,3.128,0.4049,0.0688,2.776,451.4,13
2022/1/4 12:00,14.79,8.21,11.16,0.95,0.025,0.01,0.9,119.72,4.92
2022/1/4 12:00,11.61,7.63,11.627,1.6,0.0416,0.0364,2.342,315.7,22.8
2022/1/4 12:00,14.97,7.1,8.27,1.367,0.025,0.011,1.089,156.37,11.87
2022/1/4 12:00,11.66,7.7,10.069,1.314,0.11,0.073,2.179,338.5,46.6
2022/1/4 12:00,10.28,7.691,9.175,2.36,0.4916,0.1468,2.2279,2837.386,260.021
2022/1/4 16:00,15.64,7.221,8.396,0.79,0.0351,0.0063,0.8786,118.286,1.968
2022/1/4 16:00,10.46,8.11,9.46,4.68,0.27,0.19,4.3,475.86,264.15
2022/1/4 16:00,15.73,8.437,8.772,0.4377,0.025,0.005,0.7638,115.048,2.845
2022/1/4 16:00,10.11,8.29,10.12,2.908,0.16,0.0583,1.678,354.4,12.4
2022/1/4 16:00,15.57,7.802,8.555,3.18,0.025,0.0156,0.4131,134.686,1.893
2022/1/4 16:00,11.6,7.56,12.62,2.074,0.0648,0.0537,1.902,282.4,23.9
2022/1/4 16:00,12.23,7.76,8.879,1.363,0.0808,0.0338,1.877,249.6,14.1
2022/1/4 16:00,9.19,7.07,9.038,2.129,0.4332,0.0687,2.466,450.6,12.2
2022/1/4 16:00,14.78,8.24,11.25,0.51,0.025,0.01,0.95,120.42,5.09
2022/1/4 16:00,11.5,7.59,11.58,1.2,0.062,0.0412,2.288,323.1,59.3
2022/1/4 16:00,15.01,7.1,8.14,1.089,0.025,0.016,1.033,157.97,11.95
2022/1/4 16:00,11.53,7.75,10.203,2.308,0.11,0.079,2.959,344.4,153.2
2022/1/4 16:00,10.36,7.687,9.117,2.7,0.546,0.1443,2.2444,2985.818,277.096
2022/1/4 20:00,15.47,7.187,8.262,1.21,0.0324,0.005,0.8592,118.366,1.978
2022/1/4 20:00,10.02,8.13,9.46,3.56,0.29,0.18,3.75,472.82,239.75
2022/1/4 20:00,15.64,8.405,8.638,0.6038,0.025,0.0114,0.8158,115.53,2.759
2022/1/4 20:00,10.02,8.24,9.91,2.954,0.16,0.062,1.533,354.5,10.4
2022/1/4 20:00,15.44,7.751,8.665,4.35,0.025,0.0164,0.3764,134.433,1.942
2022/1/4 20:00,12.12,7.63,12.024,2.136,0.0339,0.0437,1.5,277.4,33.1
2022/1/4 20:00,12.03,7.72,8.563,1.185,0.0688,0.0328,1.945,244.4,13.8
2022/1/4 20:00,9.36,7.06,9.128,2.276,0.4463,0.0764,2.516,452.6,17.2
2022/1/4 20:00,14.97,8.19,10.95,0.58,0.025,0.01,1,119.81,5.16
2022/1/4 20:00,11.44,7.58,11.618,1.9,0.0519,0.042,2.284,316.4,52
2022/1/4 20:00,14.89,7.06,8.02,1.008,0.025,0.01,1.04,157.08,11.74
2022/1/4 20:00,11.18,7.81,10.253,1.636,0.1,0.0838,2.538,502.6,688.6
2022/1/4 20:00,10.25,7.698,9.143,2.86,0.5552,0.1322,2.4143,,179.776
2022/1/5 0:00,15.32,7.169,8.188,0.94,0.0278,0.0104,0.8656,118.441,2.024
2022/1/5 0:00,9.98,8.14,9.52,3.93,0.3,0.19,4.56,468.05,318.99
2022/1/5 0:00,15.5,8.407,8.684,0.5597,0.025,0.005,0.8115,115.153,2.881
2022/1/5 0:00,9.98,8.23,9.906,2.782,0.17,0.0553,1.653,353.7,9.6
2022/1/5 0:00,15.31,7.782,8.711,4.42,0.025,0.015,0.1591,132.15,2.179
2022/1/5 0:00,11.59,8.04,11.639,2.156,0.0426,0.0453,1.234,290.9,28.7
2022/1/5 0:00,11.93,7.67,8.477,1.339,0.0808,0.0309,1.719,240.6,9.3
2022/1/5 0:00,9.29,7.05,9,2.441,0.4254,0.0704,2.425,453.4,17
2022/1/5 0:00,14.82,8.15,10.54,0.46,0.025,0.01,0.97,120.06,4.95
2022/1/5 0:00,11.18,7.61,11.661,1.8,0.0576,0.0425,2.287,317.1,37
2022/1/5 0:00,14.74,7.04,8,1.135,0.025,0.012,1.137,157.13,11.66
2022/1/5 0:00,10.68,7.79,10.617,1.131,0.1,0.0808,2.744,427,354.5
2022/1/5 0:00,10.2,7.711,9.094,2.81,0.4976,0.1324,2.4605,2830.366,199.699
2022/1/5 4:00,15.28,7.156,8.103,0.99,0.0338,0.005,0.8204,118.488,2.076
2022/1/5 4:00,9.93,8.13,9.58,3.41,0.32,0.18,3.83,464.81,218.93
2022/1/5 4:00,15.55,8.399,8.647,0.511,0.025,0.005,0.788,115.061,2.757
