水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
9.4,7.84,10.65,1.76,0.202,0.049,1.85,461.2,10.8
10.8,7.59,8.69,1.29,0.178,0.069,1.25,302.3,98.4
9,7.77,13.05,4.33,0.236,0.097,2.1,376.8,180.8
9.4,7.82,10.58,1.91,0.209,0.048,1.8,460.1,15.3
10.4,7.62,8.66,1.28,0.174,0.069,1.29,312.8,93.5
9.1,7.78,12.93,4.36,0.255,0.098,2.15,379.1,232.8
9.5,7.83,10.74,1.91,0.22,0.05,1.8,459.5,18.7
10.9,7.62,8.51,1.19,0.131,0.069,1.23,336.2,97.8
9,7.76,12.96,4.41,0.496,0.099,2.24,402.8,201.1
9.6,7.86,10.83,1.91,0.22,0.05,1.8,460.9,20.1
10.3,7.65,9,1.55,0.11,0.067,1.29,356.9,106
9.1,7.79,12.94,4.78,0.263,0.098,2.06,398.3,232
10.2,7.82,10.42,1.65,0.26,0.05,2.49,464.2,15.9
10.3,7.68,9.07,1.32,0.078,0.065,1.25,350.4,107.1
8.9,7.93,12.91,4.8,0.264,0.1,2.35,397.5,270
9.8,7.79,10.3,1.98,0.268,0.048,2.08,465.5,12.7
10.2,7.66,9.11,1.38,0.085,0.066,1.23,325.8,83.6
8.8,7.93,13.11,5.33,0.276,0.105,2.28,389.9,343.9
9.8,7.77,10.03,1.85,0.285,0.048,2.01,465.8,11.6
10.7,7.72,8.96,1.37,0.05,0.065,1.23,298.5,89.6
8.5,7.85,13.11,5.2,0.274,0.108,2.42,392.9,230.4
9.6,7.76,9.97,1.83,0.315,0.051,2.04,469.5,12.5
10.1,7.65,8.96,1.25,0.1,0.062,1.25,287.9,71.3
8.4,7.82,13.06,3.37,0.265,0.101,2.18,407.2,228.7
9.6,7.77,10.12,1.96,0.324,0.052,1.98,471.8,11.3
10.4,7.55,8.5,1.17,0.15,0.062,1.33,308.4,77.6
8.4,7.8,12.99,4.67,0.244,0.095,2.34,410,220.8
9.5,7.81,10.25,1.76,0.332,0.054,2.45,471,11.7
10.1,7.57,8.35,1.25,0.16,0.072,1.33,312.6,102.1
8.7,7.87,11.47,4.39,0.417,0.106,2.92,389.4,266.8
9.5,7.82,10.33,1.72,0.326,0.055,2.53,469.3,11.9
10.4,7.59,8.76,1.16,0.168,0.072,1.28,300.2,98.3
8.5,7.84,12.81,5.22,0.371,0.103,2.78,408.1,268.5
9.2,7.81,10.23,1.81,0.325,0.055,2.32,471.1,11.2
8.4,7.86,12.78,5.1,0.272,0.101,2.86,408.9,261.1
9.4,7.78,9.9,2,0.346,0.057,2.14,469.2,10.9
9.9,7.43,8.46,1.22,0.251,0.067,1.42,293.7,70.7
8.1,7.83,12.91,5.25,0.296,0.1,2.87,401.6,224.3
9.1,7.76,9.73,1.98,0.344,0.056,2.21,469.6,10.9
10,7.73,9.4,1.38,0.277,0.056,1.43,208,22.1
7.9,7.79,12.88,4.93,0.31,0.104,3.05,407.3,239.3
8.8,7.74,9.62,1.59,0.337,0.056,2.11,472.7,11.6
10,7.6,9.34,1.22,0.236,0.053,1.35,220.1,32.9
7.6,7.76,12.96,5.09,0.315,0.104,2.87,434.5,224.2
8.5,7.72,9.46,1.8,0.35,0.058,2.55,475.1,13.5
9.7,7.66,9.24,1.39,0.206,0.051,1.33,204.6,40.6
7.6,7.79,13.11,4.82,0.295,0.104,2.94,426.8,261.5
8.4,7.71,9.64,1.96,0.38,0.061,2.48,481,15.3
9.9,7.69,9.57,1.27,0.164,0.045,1.29,198.6,35.9
7.2,7.8,13.39,6.52,0.354,0.107,3.06,412.8,230.4
8.2,7.71,9.89,1.81,0.355,0.06,2.46,483.4,14.9
9.7,7.7,9.54,1.29,0.153,0.044,1.28,199.9,36.2
6.7,7.79,13.6,5.17,0.332,0.104,3.07,408.6,214.8
7.7,7.72,9.88,1.89,0.324,0.057,2.2,479.8,12.6
9.1,7.73,10.09,1.41,0.143,0.042,1.27,198.1,36.3
7.4,7.74,10.05,1.89,0.324,0.057,2.2,479.3,10.8
8.9,7.58,10.24,1.41,0.143,0.042,1.27,213.4,29.5
7,7.76,10.16,1.8,0.312,0.057,2.16,483,12.1
8.8,7.52,9.58,1.31,0.216,0.042,1.43,217.8,27
6.6,7.78,10.34,1.87,0.304,0.056,2.75,490.9,15.6
8.8,7.54,10.95,1.47,0.223,0.041,1.37,203.6,38
7,7.82,10.69,1.66,0.277,0.055,2.81,497.8,18.6
8.8,7.54,10.01,1.29,0.174,0.041,1.41,202.2,25.2
7.4,7.84,10.93,1.87,0.25,0.053,2.79,494.1,16.2
8.8,7.48,10.88,1.48,0.186,0.04,1.34,205.8,38.8
7,7.84,10.86,1.89,0.239,0.052,2.53,495.4,13.5
8.9,7.48,10.94,1.41,0.153,0.036,1.41,208.6,25
6.6,7.83,10.75,1.89,0.239,0.052,2.53,494.1,12.7
8.9,7.45,9.95,1.41,0.153,0.036,1.41,218,21.5
6.4,7.81,10.63,1.89,0.241,0.05,2.45,495.9,10.8
8.8,7.41,9.73,1.4,0.236,0.04,1.47,229.5,26.1
6,7.8,10.62,1.83,0.257,0.05,3.01,497.7,10.9
8.8,7.46,10.15,1.62,0.177,0.038,1.44,199.1,25.3
6.2,7.79,10.86,1.72,0.269,0.051,2.61,494.4,10.4
8.9,7.53,10.22,1.31,0.164,0.038,1.4,198,28.6
6.8,7.81,11.17,1.89,0.27,0.052,2.56,491.7,10.1
8.9,7.51,10.9,1.45,0.127,0.037,1.36,194.6,21.4
6.6,7.81,11.07,1.71,0.261,0.05,2.4,494.9,11
8.9,7.48,10.03,1.46,0.122,0.036,1.33,193.2,24.8
6.6,7.81,10.96,1.71,0.261,0.05,2.4,497.3,9.2
8.8,7.44,10.06,1.46,0.122,0.036,1.33,213.7,25.2
6.4,7.81,10.86,1.8,0.27,0.05,2.26,496.5,9.7
8.8,7.46,10.2,1.46,0.19,0.039,1.42,212.8,28.6
6.2,7.79,10.83,1.78,0.285,0.05,2.82,498.1,9.4
8.8,7.48,9.88,1.62,0.171,0.038,1.43,203.1,26.3
6.6,7.78,10.9,1.7,0.33,0.051,2.65,504.2,12.4
8.9,7.56,10.3,1.42,0.162,0.037,1.39,202.1,32.2
7.2,7.79,10.98,1.78,0.329,0.054,2.52,505.5,23.3
8.9,7.56,10.26,1.55,0.163,0.037,1.37,201.7,30
6.9,7.85,14,4.26,0.431,0.084,1.94,354.2,138.3
7,7.82,10.88,1.71,0.29,0.055,2.45,501.2,31.9
9,7.52,10.06,1.48,0.186,0.039,1.41,209.5,35.6
7,7.91,13.99,4.26,0.431,0.084,1.94,365.1,151.1
7,7.85,11,1.71,0.29,0.055,2.45,497,26.8
8.9,7.48,9.96,1.48,0.186,0.039,1.41,219.9,26.9
6.8,7.87,13.88,3.88,0.442,0.082,2.41,370.1,150.3
6.8,7.86,11,1.87,0.256,0.052,2.3,499.6,23.8
8.8,7.55,10.2,1.62,0.162,0.038,1.51,203.7,24.3
6.6,7.85,13.9,3.89,0.44,0.085,2.19,366.6,191
6.8,7.87,10.97,1.87,0.274,0.067,3.05,497.4,31.1
8.8,7.53,10.61,1.67,0.179,0.038,1.46,219.2,27.6
7.5,7.86,14,4.23,0.443,0.086,2.28,377.3,193.5
7,7.32,11.18,1.87,0.264,0.067,3.21,494.9,38
9.1,7.69,10.55,1.55,0.134,0.038,0.57,203.3,34.2
6.9,7.27,11.73,2.94,0.188,0.08,2.58,369.5,184.4
7.9,7.59,11.16,2.03,0.253,0.068,2.57,487.4,40
9.3,7.53,10.5,1.79,0.134,0.039,2.21,198.9,42.4
6.7,7.8,13.84,4.42,0.462,0.088,2.49,371.5,189.7
7.4,7.59,10.98,2.04,0.271,0.056,2.6,489.9,31.5
9,7.45,10.24,1.32,0.285,0.049,1.39,207.8,32.4
6.7,7.84,13.8,4.42,0.462,0.088,2.49,367.4,192.1
7.2,7.57,10.83,2.04,0.271,0.056,2.6,491.4,24
8.9,7.48,10.45,1.32,0.285,0.049,1.39,226.3,27.5
6.7,7.83,13.6,4.02,0.256,0.091,2.71,365.3,193.9
7,7.56,10.99,2.18,0.299,0.054,2.46,493.7,21.7
8.9,7.64,10.42,1.46,0.093,0.042,1.44,197.9,24.9
6.7,7.84,13.7,4.11,0.489,0.092,2.68,372.6,168.3
6.8,7.57,11.08,2.01,0.296,0.187,2.95,492.1,26
8.9,7.55,10.11,1.5,0.152,0.037,1.38,211.6,25.6
7.5,7.85,13.84,4.17,0.455,0.09,2.65,367.9,179.1
7.2,7.6,11.14,1.95,0.276,0.056,2.93,487,30.4
9,7.61,10.46,1.52,0.152,0.038,1.36,201.8,28.5
7.6,7.83,13.69,4.5,0.447,0.09,2.57,368.4,169.3
8,7.63,11.26,1.83,0.278,0.055,3.55,484.9,31.2
8.9,7.66,10.32,1.84,0.238,0.071,0.85,200.9,29.4
7.2,7.83,13.69,4.56,0.473,0.09,2.65,369.3,195.8
7.8,7.59,10.82,1.74,0.266,0.053,2.89,482,23
8.9,7.55,10.22,2.17,0.209,0.039,1.66,211.9,48
7.1,7.85,13.7,4.56,0.473,0.09,2.65,368.9,199.4
7.5,7.57,10.71,1.74,0.266,0.053,2.89,486.8,17.5
8.9,7.53,10.96,2.17,0.209,0.039,1.66,212.7,64.7
7.2,7.85,13.63,4.31,0.491,0.093,2.68,359.6,198.2
7.2,7.56,10.7,1.94,0.272,0.051,2.24,493.6,17.1
8.8,7.61,10.4,1.45,0.114,0.036,1.42,196.7,26.2
7.1,7.85,13.49,5.2,0.473,0.096,2.48,359.2,234.3
7.2,7.55,10.71,2.03,0.286,0.055,2.7,495.1,21.2
8.9,7.61,10.28,1.4,0.096,0.036,1.38,194.4,24.3
7.9,7.87,13.66,5.44,0.25,0.097,2.54,365.6,291.8
9.3,7.67,10.97,1.44,0.102,0.035,1.32,199.6,24.8
8,7.88,13.49,5.22,0.36,0.097,3.26,364.6,231.8
8.6,7.55,11.23,2.46,0.3,0.067,2.71,489.9,37.6
9.6,7.66,10.12,1.37,0.102,0.036,1.3,202.4,32.1
8,7.9,13.66,3.67,0.455,0.087,2.57,368.8,267.5
8.4,7.55,10.9,2.36,0.282,0.066,2.06,482.2,37.7
9,7.6,11.06,1.4,0.173,0.037,1.38,214,75.9
7.7,7.88,13.62,4.4,0.407,0.086,2.46,368.3,179.5
8.1,7.53,10.61,2.5,0.281,0.063,1.86,482.3,32.3
9.1,7.52,10.04,1.49,0.245,0.039,1.49,232.4,42.7
7.6,7.86,13.52,4.89,0.432,0.084,2.5,364.7,171.3
7.8,7.52,10.51,2.57,0.293,0.062,1.64,485.3,26.1
9.2,7.64,10.3,1.41,0.166,0.039,1.45,199.5,54.4
7.4,7.84,13.59,4.75,0.414,0.084,2.44,368.7,165
7.8,7.52,10.6,2.42,0.308,0.061,1.88,491.1,20.9
9.2,7.69,10.26,1.45,0.118,0.036,1.37,197.6,28
8.4,7.85,13.5,4.47,0.342,0.086,2.5,363.8,200
9.6,7.52,10.86,2.4,0.347,0.058,2.51,490.9,23.8
10.2,7.75,10.1,1.43,0.106,0.036,1.4,203.1,43.8
8.6,7.88,12.94,4.7,0.446,0.093,2.38,363,191.9
10.1,7.5,10.9,2.69,0.359,0.056,1.91,501.8,18.4
10.6,7.74,10.04,1.45,0.158,0.04,1.36,209.2,43.5
8.3,7.87,13.46,4.78,0.429,0.086,2.46,362.9,223.5
9.9,7.51,10.7,2.69,0.389,0.058,1.88,500.8,20.4
10.2,7.76,9.9,1.39,0.189,0.046,1.3,203.2,78
8.4,7.84,13.36,4.78,0.429,0.086,2.46,368.4,176.8
9.1,7.5,10.38,2.69,0.389,0.058,1.88,498.1,24
10.2,7.65,9.69,1.39,0.189,0.046,1.3,322.3,95.8
8.3,7.85,13.17,4.63,0.446,0.088,2.72,374.7,167.4
8.8,7.49,10.19,2.47,0.356,0.062,1.68,496,22.4
10.2,7.71,9.69,1.34,0.234,0.053,1.49,214,64
8.3,7.86,13.34,5.02,0.417,0.087,2.54,376.7,324.5
8.8,7.48,10.28,2.57,0.347,0.055,1.78,498,19.4
10.1,7.73,9.92,1.51,0.226,0.052,1.34,211.1,76.6
9.4,7.9,12.33,5.01,0.268,0.09,2.53,372.5,179.8
9.7,7.46,10.43,2.28,0.344,0.067,1.65,498.3,17.4
11.2,7.81,9.82,1.31,0.185,0.049,1.36,211.5,65.9
9.3,7.85,12.39,4.82,0.4,0.081,2.86,364.7,168.2
10.9,7.46,10.59,2.52,0.333,0.057,1.48,493.9,18
11.4,7.87,9.68,1.39,0.181,0.065,1.36,202.1,47.3
9,7.85,13.13,4.09,0.363,0.08,2.83,368,178.3
12.2,7.46,9.63,2.36,0.326,0.061,2.17,466.7,21.5
11.2,7.91,9.65,1.31,0.153,0.043,1.28,204.3,48.6
8.9,8.13,13.16,4.09,0.363,0.08,2.83,364,135.5
10.2,7.47,10.14,2.36,0.326,0.061,2.17,491.6,21.6
11,7.71,9.57,1.31,0.153,0.043,1.28,334.4,264
9.1,7.95,13.11,3.92,0.421,0.082,2.48,351.9,147.2
9.8,7.45,9.85,2.35,0.32,0.057,1.74,491.4,24.1
10.9,7.76,9.51,1.14,0.063,0.071,1.36,366.3,143.5
8.9,7.89,13.21,4.08,0.381,0.081,2.49,350.3,152.5
9.6,7.45,9.73,2.1,0.33,0.058,1.88,491.8,25.3
10.6,7.79,9.76,1.32,0.025,0.062,1.36,251.3,95.5
9.3,7.88,13.32,4.2,0.409,0.083,2.12,347.7,192.8
9.7,7.45,9.93,2.5,0.326,0.058,1.8,493.4,22
9.4,7.87,13.53,4.25,0.442,0.084,2.46,354.1,166.9
10,7.47,10.33,2.42,0.312,0.056,1.76,496.8,20.7
10.1,7.86,10.37,1.11,0.28,0.054,0.57,223.2,102
8.8,7.86,13.47,3.99,0.44,0.082,2.25,349.8,183.8
9.8,7.49,10.26,2.57,0.302,0.056,1.76,499.7,25.8
10.2,7.82,10.15,1.2,0.038,0.06,1.04,222.4,132.9
8.6,7.87,13.4,3.99,0.44,0.082,2.25,353.3,155.3
9.6,7.49,10.15,2.57,0.302,0.056,1.76,501.6,24.9
10,7.78,10.12,1.2,0.038,0.06,1.04,306,159.7
8.3,7.88,13.31,2.79,0.42,0.078,2.3,370.7,179.9
9.2,7.53,10.35,2.52,0.321,0.058,1.68,503.5,28.3
9.8,7.84,10.19,1.2,0.025,0.06,1.25,210.8,76.5
8.4,7.85,13.26,3.75,0.391,0.079,2.51,375.6,163.3
9,7.54,10.31,2.66,0.337,0.06,2.12,507.4,27.5
9.6,7.86,10.38,1.22,0.258,0.057,1.25,205.8,78
9.3,7.85,13.4,3.9,0.432,0.082,2.47,369.9,169.5
9.6,7.56,10.41,2.57,0.337,0.064,1.94,503.8,25.9
10.2,7.92,10.5,1.16,0.207,0.056,1.25,199.6,44
9.2,7.84,13.34,3.89,0.446,0.081,2.54,357.9,148
10.4,7.57,10.57,2.79,0.335,0.06,1.66,502.1,24.4
10.1,7.98,10.52,1.38,0.191,0.054,1.26,198,56.7
8.6,7.87,13.41,3.86,0.434,0.081,2.5,357.2,147.4
9.5,7.56,10.31,2.65,0.33,0.061,1.71,502.4,24.5
10.2,7.86,10.18,1.37,0.188,0.052,1.25,201.9,56.4
8.6,7.87,13.36,3.86,0.434,0.081,2.5,356.9,133.8
9,7.55,10.15,2.65,0.33,0.061,1.71,504,23.9
9.9,7.76,10.04,1.37,0.188,0.052,1.25,208.1,56.7
8.8,7.85,13.3,3.84,0.448,0.082,2.53,355.4,159.6
8.6,7.53,10.06,2.66,0.304,0.06,1.69,503.9,24.2
9.6,7.76,11.16,1.49,0.187,0.048,1.32,209.8,50.2
8.2,7.81,13.24,3.87,0.452,0.085,2.81,358.5,159.1
8.2,7.53,10.18,2.42,0.288,0.057,2.15,503.8,21.5
9.4,7.85,10.22,1.52,0.127,0.049,1.31,192,52.6
9.2,7.81,13.23,3.81,0.472,0.087,2.48,376.1,163.1
8.7,7.56,10.54,2.49,0.264,0.057,1.91,497.8,22
10.5,7.89,10.23,1.35,1.08,0.044,1.26,192,36.2
9.3,7.84,13.06,3.84,0.474,0.089,2.44,383.1,152.7
9.6,7.56,10.79,2.7,0.249,0.057,1.76,495,23.1
10.2,7.98,10.28,1.62,0.134,0.042,1.26,191.7,30.6
9,7.83,13.17,3.71,0.481,0.088,2.62,385.6,140.7
9.1,7.54,10.53,2.68,0.253,0.058,1.64,495.5,22.8
10.4,7.75,9.9,1.66,0.124,0.038,1.33,207.7,31.5
8.9,7.81,13.06,3.71,0.481,0.088,2.62,380.9,160
8.6,7.53,10.46,2.68,0.253,0.058,1.64,496,23.2
10.1,7.73,10.27,1.66,0.124,0.038,1.33,208.1,34.4
8.6,7.8,12.88,3.97,0.446,0.087,2.72,374.6,168.8
8.3,7.53,10.47,2.6,0.273,0.061,1.75,495.1,22.8
10,7.74,10.05,1.54,0.086,0.039,1.45,202.9,27
8.8,7.78,12.9,3,0.431,0.082,2.96,378.2,161
8,7.54,10.48,2.42,0.29,0.058,2.04,496.1,20.5
9.7,7.73,10.17,1.66,0.101,0.048,1.4,206.6,30.2
9.3,7.8,12.89,3.79,0.025,0.085,2.48,383.8,165.4
8.3,7.53,11.06,2.52,0.297,0.061,2.3,506.1,17.4
10.7,7.72,10.07,1.51,0.11,0.037,1.43,208.8,152.1
9.4,7.82,13.02,3.99,0.025,0.087,2.61,382.1,163.4
9.4,7.54,11.1,2.65,0.261,0.058,2.02,501.7,17.2
10.9,7.71,9.94,1.54,0.118,0.038,1.47,211.1,34.6
9,7.83,13.31,4.39,0.473,0.092,2.5,380.2,156.3
9,7.55,11.06,2.61,0.25,0.058,1.71,498.2,18
10.8,7.74,9.97,1.62,0.104,0.044,1.44,208.2,33
9.1,7.86,13.3,4.39,0.473,0.092,2.5,375.6,155.4
8.7,7.56,10.88,2.61,0.25,0.058,1.71,497.8,17.4
10.3,7.68,10.1,1.62,0.104,0.044,1.44,216,31.9
8.8,7.88,13.27,3.96,0.494,0.09,2.19,376,159.8
8.4,7.56,10.87,2.65,0.231,0.055,1.73,496.4,17.2
10.1,7.71,10.22,1.41,0.104,0.042,1.51,209.6,32.9
8.8,7.99,13.15,4.35,0.257,0.091,1.92,369.2,263.2
8.1,7.58,10.85,2.39,0.228,0.055,2.27,496.8,15.9
10.2,7.68,10.02,1.75,0.101,0.038,1.47,211.8,32.7
9.8,7.93,13.1,3.85,0.244,0.092,1.86,343.7,193.1
8.8,7.58,11.17,2.66,0.225,0.056,2.02,494.9,15.9
10.9,7.69,9.93,1.63,0.107,0.036,1.47,211,27.5
10.3,7.89,12.98,2.9,0.348,0.086,1.94,344.8,156
10,7.58,11.42,2.57,0.217,0.058,1.96,491.9,17
11.2,7.73,9.81,1.57,0.103,0.037,1.48,211.5,27.3
9.8,7.86,12.97,3.54,0.461,0.086,1.9,343.5,126.1
9.7,7.59,11.12,2.74,0.209,0.059,1.65,488.1,19
11.4,7.73,9.88,1.68,0.089,0.038,1.47,208.4,23.2
9.9,7.86,12.84,3.54,0.461,0.086,1.9,342.2,124.9
9.3,7.58,10.93,2.74,0.209,0.059,1.65,484.1,19.7
11.2,7.61,10.2,1.68,0.089,0.038,1.47,210.6,28.9
10,7.83,12.73,3.49,0.422,0.084,1.96,339.6,113.7
9.2,7.58,10.73,2.68,0.206,0.056,1.49,485,17.4
11.3,7.65,9.7,1.48,0.084,0.039,1.49,203.5,24.1
9.8,7.82,12.64,3.83,0.407,0.084,1.78,344.7,146.2
9.2,7.58,10.78,2.31,0.228,0.056,1.99,487.4,16.7
11.4,7.6,9.68,1.72,0.108,0.035,1.48,208.3,23.3
11,7.86,12.61,3.74,0.325,0.089,1.83,341.1,154.4
10.1,7.56,10.96,2.42,0.243,0.058,1.6,492,15.4
11.8,7.65,9.83,1.58,0.084,0.041,1.39,196.4,25.8
11,7.92,12.49,3.87,0.27,0.089,1.8,338.6,156.5
11.1,7.55,11.15,2.57,0.249,0.104,4.11,497.6,13.4
11.8,7.63,9.68,1.56,0.106,0.033,1.41,196.6,25.4
10.6,7.87,12.57,3.67,0.398,0.085,1.86,333.2,112.6
11.1,7.53,10.83,2.68,0.249,0.062,2.61,500.5,12.2
12,7.64,9.61,1.5,0.083,0.043,1.41,196.2,25.5
10.7,7.83,12.5,3.66,0.41,0.084,1.89,329.3,122.8
11,7.53,10.71,2.83,0.258,0.056,2.24,503,12.4
12.3,7.56,9.34,1.39,0.14,0.036,1.45,203.1,28.4
10.8,7.78,12.41,3.57,0.393,0.086,2.08,336.3,126.2
11.1,7.54,10.88,2.79,0.261,0.057,1.72,502.5,12.1
12.1,7.52,9.2,1.5,0.111,0.033,1.44,193.7,23.2
10.7,7.9,12.42,3.99,0.425,0.084,1.74,343.6,196.3
11.2,7.54,10.96,2.57,0.265,0.055,2.04,500.5,12.4
11.9,7.5,9.1,1.62,0.173,0.033,1.39,198.8,23.1
10.8,7.83,12.62,3.81,0.433,0.084,1.89,345.2,182.7
11.4,7.55,10.92,2.66,0.272,0.056,1.85,495.9,12.7
12,7.5,9.03,1.29,0.188,0.033,1.47,198.3,22.8
10.8,7.8,12.54,3.53,0.41,0.084,1.8,343.9,152
11.4,7.56,10.77,2.78,0.276,0.055,1.72,494.7,12.6
12,7.52,9.06,1.51,0.16,0.036,1.45,191.4,25.8
10.7,7.8,12.48,3.46,0.452,0.084,1.93,336.5,101
11.4,7.56,10.47,2.81,0.293,0.055,1.57,492.4,11.9
11.8,7.5,9.25,1.44,0.224,0.037,1.47,193.8,27.2
10.8,7.79,12.45,2.83,0.356,0.075,2.11,341,91.4
11.2,7.54,10.18,2.81,0.304,0.056,1.54,491.9,12.1
11.9,7.49,9.7,1.43,0.207,0.038,1.47,207.2,30
10.7,7.77,12.3,2.21,0.354,0.072,2.06,337.1,102.7
11.2,7.5,9.7,2.66,0.307,0.056,1.52,490.9,12.3
12.2,7.55,8.83,1.45,0.14,0.033,1.47,190.9,612.6
10.6,7.77,12.37,3.65,0.327,0.075,1.82,334.3,138.8
11,7.5,9.74,2.51,0.344,0.056,1.98,489.6,12.7
11.9,7.49,9.09,1.53,0.156,0.032,1.39,193.2,20.9
10.9,7.78,12.5,3.66,0.339,0.077,1.87,334.4,135.2
11,7.5,9.97,2.74,0.372,0.058,1.76,490.7,13.3
11.8,7.53,10.37,1.5,0.103,0.03,1.39,185.9,21.5
10.9,7.81,12.5,3.62,0.387,0.078,1.91,341,99.5
11,7.49,9.8,2.72,0.357,0.056,1.7,491.2,12.4
11.8,7.57,9.72,1.44,0.074,0.032,1.33,184.7,25.4
10.8,7.78,12.35,3.62,0.38,0.076,1.99,339.8,96.7
11,7.48,9.78,2.9,0.384,0.056,1.69,493.6,13.2
11.8,7.52,9.21,2.08,0.107,0.036,1.38,188.3,29.5
10.7,7.78,12.26,3.62,0.326,0.073,2.01,341.9,117
10.9,7.46,9.58,2.73,0.384,0.056,1.78,496.4,13.4
11.6,7.58,9.43,1.25,0.087,0.031,1.39,185.9,20.7
10.5,7.82,12.05,3.62,0.334,0.073,1.95,335.6,128.2
10.9,7.45,9.43,3.04,0.386,0.058,1.7,497.3,14
11.6,7.56,9.36,1.26,0.066,0.029,1.35,188.6,20.9
10.5,7.76,12.08,3.62,0.348,0.074,2.05,334.1,116.6
10.7,7.44,9.25,2.62,0.398,0.058,2.17,500.1,12.9
11.5,7.52,9.25,1.5,0.122,0.031,1.41,193.6,16.2
10.8,7.74,12.13,3.62,0.375,0.079,2.06,335.8,109.4
10.9,7.44,9.2,2.78,0.399,0.059,1.96,503,12.7
11.6,7.58,11.12,1.37,0.1,0.031,1.45,193.5,25.6
10.7,7.68,11.74,2.5,0.325,0.07,2.16,335,91.5
11,7.43,9.09,2.65,0.386,0.059,1.84,503.5,12.2
