水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2.3,7.17,9.72,274.4,1.8,0.35,0.025,0.008,3.36
1.9,7.96,10.1,815.2,17.5,2.41,0.614,0.057,8.52
3.7,7.64,11.91,953.1,4.4,0.92,0.113,0.016,21.52
3.7,8,13.76,441.5,10.5,1.99,0.025,0.02,1.86
2.9,8.15,11.38,1342.9,4.7,3.05,0.257,0.2,15.78
5.1,7.3,1.68,1078.1,10,3.04,1.319,0.109,17.88
5.2,7.41,8.86,5609.7,55.6,3.66,0.739,0.152,6.94
1.2,6.91,14.45,276.7,2.1,0.51,0.025,0.017,8.07
2.6,7.37,13.36,479.7,6.1,2.24,0.196,0.03,11.06
1.8,7.37,11.34,837,10.6,2.22,1.47,0.077,8.09
0.8,7.88,10.75,485.7,0.8,0.79,0.025,0.005,4.27
1.3,7.7,11.63,587.4,7.7,1.09,0.439,0.029,5.75
1.5,7.99,9.06,514.9,1.2,0.97,0.025,0.01,7
2,7.49,16.59,1234.1,5.8,8.7,0.401,0.139,5.27
3.8,7.98,12.8,1147,20,3.81,0.83,0.075,9.13
3.6,7.72,11.38,835.7,25.6,3.32,1.074,0.057,8.24
1.5,7.92,15.13,1777.3,10.9,3.57,0.426,0.087,19.93
3.9,8.06,12.51,572.6,4.5,1.01,0.502,0.12,9.54
1.8,7.16,5.54,911,13,2.25,0.51,0.072,11.14
0.6,7.44,11.97,725.1,37.2,2.85,0.483,0.042,6.64
1.1,7.84,11.66,344.4,5.9,1.91,0.031,0.017,5.29
2.2,7.21,9.78,432.3,3.5,0.89,0.041,0.029,7.66
1.3,8.56,17.35,477.5,4.4,1.9,0.025,0.013,7.65
0.2,6.98,10.16,439.3,11.8,1.31,0.183,0.045,8.63
0.7,7.38,9.13,662.7,7.1,3.72,0.805,0.121,7.52
1.4,6.82,9.72,269.8,3.7,0.72,0.173,0.077,7.54
1.3,8.16,13.37,921.3,0.3,1.07,0.05,0.02,13.14
0.6,8.12,13.5,949.8,4.1,1.73,0.102,0.042,11.06
1,7.98,11.47,932.5,4.2,2.2,1.25,0.045,24.54
5.4,7.66,9.98,495.1,2.3,0.6,0.025,0.008,4.7
0.6,7.73,11.67,707,4.3,1.59,0.06,0.05,13.45
2.4,8.3,12.47,489,3.6,1.49,0.061,0.012,9.97
1.9,7.78,13.87,828.6,0.5,1.44,0.046,0.015,15.84
4.4,8.05,12.15,672.6,1.6,0.98,0.025,0.015,11.31
2.4,8.15,13.69,254.6,17.7,3.18,0.025,0.059,2.92
0.8,7.51,10.3,914.9,74.7,4.32,0.72,0.128,10.03
2.9,7.53,7.52,619.6,7.4,1.77,0.537,0.087,8.17
7,7.45,8.03,274,8.1,3.45,0.151,0.042,3.13
2.5,7.97,12.17,334.2,3.4,3.02,0.066,0.026,1.74
4.7,7.13,5.34,554.9,9.8,2.63,0.535,0.072,4.58
3,7.05,10.94,249.1,6.9,3.1,0.101,0.043,2.96
6.2,7.22,8.19,107.7,2.9,4.44,0.025,0.028,1.5
1.9,7.24,10.66,119.7,1,4.88,0.025,0.036,1.68
1.4,7.2,9.29,423.6,5.9,1.73,0.276,0.043,5.92
4,7.88,10.57,229.2,3.2,3.02,0.025,0.028,2.36
8.2,7.27,9.43,179.7,7.5,3.76,0.025,0.035,2.73
2.9,7.4,11.57,218.9,9.3,2.5,0.202,0.048,3.14
0.1,6.84,9.72,399.3,18.8,3.14,0.338,0.148,5.48
0.3,7.64,11.89,259.8,4.5,3.27,0.142,0.043,2.95
0.3,6.44,8.7,225.5,2.4,1.07,0.32,0.033,3.44
3.9,7.37,7.9,388.8,4.1,1.12,0.166,0.057,5
4.1,7.67,11.71,615.4,23.7,2.96,0.249,0.077,7.62
1,7.29,5.71,965.7,17.2,1.68,0.343,0.068,12.91
4.2,7.28,7.15,1076.4,9.1,4.37,0.79,0.063,7.8
1.6,7.03,8.86,364.5,1.2,1.1,0.054,0.016,4.06
2,6.89,9.59,429.4,4.9,1.5,0.37,0.026,5.63
5.1,7.15,8.85,144.9,2.9,1.77,0.025,0.016,1.46
2.4,7.5,11.86,120.5,3,1.59,0.025,0.01,1.55
6.9,8,10.3,262.8,1.1,0.25,0.025,0.018,1.27
1,7.46,12.88,258,11.7,3.49,0.085,0.045,2.85
2.4,6.94,10.36,222.5,32.6,3.41,0.233,0.086,3.06
4.5,8.11,12.35,603.8,6,6.2,0.1,0.064,1.05
1.8,7.2,11.73,251,5.1,2.15,0.092,0.045,2.47
1.9,6.77,9.24,202.3,6.3,2.44,0.131,0.054,2.34
2.5,7.41,9.9,102.5,4.7,1.16,0.025,0.14,0.96
0.1,6.9,10.74,284.9,3,1.47,0.072,0.039,3.14
4.3,7.51,10.96,430.5,4.9,2.9,0.762,0.058,5.2
2.1,6.99,9.6,218.4,22.2,3.31,0.13,0.054,2.71
1.7,7.47,14.53,343.4,3.9,2.28,0.513,0.072,3.38
9.5,6.97,11.33,106.9,5,2.67,0.429,0.173,2.01
1.2,8.08,9.26,142.4,6.2,0.72,0.025,0.099,0.93
2.3,7.44,11.11,379.9,8.4,3.26,0.159,0.05,3.39
1.8,7.27,7.35,308,10,3.05,0.242,0.078,1.65
3.5,7.19,10.68,71.2,0.9,4.09,0.029,0.021,1.64
0.6,7.49,10.91,344.5,14.2,3.2,0.145,0.038,3.57
0.4,7.02,6.81,546.8,12.4,2.44,1.651,0.142,6.61
1.7,7.1,7.62,629.6,16.6,3.29,0.407,0.082,4.17
4.7,7.63,9.91,350,14.8,3.46,0.154,0.046,2.39
2.7,6.86,6.04,157.9,4.3,1.97,0.025,0.114,1.39
1.2,6.54,8.24,177.3,48.5,2.88,0.035,0.077,1.37
1.6,6.73,6.73,472.6,39,3.33,0.298,0.085,2.82
1.3,6.97,11.24,273.2,80.4,4.03,0.102,0.105,1.25
5,7.54,10.3,486.7,22.9,3.8,0.157,0.053,2.28
0.7,6.48,4.87,166.2,10.6,4.22,0.062,0.033,1.67
2.3,6.25,7.56,178.9,5.4,1.65,0.386,0.06,3.13
1.7,7.22,11.75,332.8,8.2,3.09,0.173,0.052,2.93
2.3,6.38,8.74,188.7,2.7,2.64,0.118,0.035,2.41
2.9,7.49,11.13,363.5,8.8,3.34,0.168,0.048,3.2
2.7,7.5,10.3,350.8,14.8,3.68,0.121,0.037,3.16
1,6.92,10.75,171.1,4.9,2.81,0.068,0.056,2.83
4.1,7.41,10.63,134.2,7.5,3.76,0.025,0.058,1.82
1.4,7.2,9.07,237.6,11,4.32,0.402,0.074,3.4
2.9,7.69,11.76,127.3,3.6,4.11,0.025,0.046,1.26
0.2,6.84,13.47,143.5,1,1.86,0.094,0.052,2.72
9.1,6.98,8.03,312,13.9,4.16,0.025,0.014,0.9
7.9,7.26,7.08,294,2.5,4.23,0.025,0.014,0.71
0.7,6.63,7.39,87.7,0.7,3.6,0.025,0.007,0.32
2.6,6.64,9.23,82.4,4.7,2.63,0.025,0.005,0.44
9.9,7.76,10.51,732.6,26.5,4.36,0.394,0.089,4.12
16,8.41,9.67,1.2,76.6,4.05,0.198,0.081,4.69
8.8,7.55,7.1,842.6,39.9,3.28,0.267,0.102,4.42
7,7.61,10.52,550.6,32.8,3.46,0.378,0.068,2.12
7.8,7.28,9.25,679.9,117,3.87,0.451,0.095,3.5
7.3,8.13,11.07,652.3,37.1,3.03,0.385,0.128,4.02
10.3,8.52,9.33,412.3,29.8,3.69,0.397,0.117,2.98
10.6,7.49,12.7,865.8,17.3,1.89,0.045,0.005,1.45
6.5,8.03,10.86,780.6,261.2,4.11,0.563,0.063,2.47
6.9,8.05,9.83,654,41.1,4.23,0.26,0.078,2.3
11.2,8.53,10.3,623.9,26.6,2.83,0.142,0.046,1.96
9.8,7.85,11.27,1029.4,13.4,5.93,0.149,0.052,2.78
5,8.26,15.24,1192.1,34.8,6.29,0.189,0.048,2.68
6.3,8.01,16,1082.1,10.6,6.85,0.255,0.045,2.38
7.3,7.94,12.57,1127.8,7.8,2.62,0.124,0.029,3.04
7.9,7.72,13.1,725,15,3.79,0.025,0.053,1.87
7.4,8,11.82,445.4,11.1,1.77,0.066,0.06,2.13
8.6,7.64,9.69,609.3,23.2,2.68,0.541,0.065,7.68
10.5,8.14,10.23,372.1,54.7,1.82,0.083,0.093,2.27
22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48
22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26
23.5,7.71,7.11,476,57.6,3.87,0.13,0.148,2.58
7.6,8.56,11.87,399.7,14.1,1.54,0.025,0.019,1.2
5.9,8.5,12.65,522.2,14.7,2.7,0.025,0.042,1.41
7.6,7.81,10.13,627,27.4,3.75,0.21,0.132,3.45
6.9,7.29,9.93,507.8,44.3,3.07,0.229,0.116,2.92
7.1,7.94,12.64,551.7,47.2,4.07,0.212,0.109,3.15
11.3,7.51,8.54,490.8,85.9,2.51,0.41,0.109,3.44
6.4,8.18,16.84,462.8,17.2,3.56,0.025,0.058,2.28
4,8.11,12.08,346.5,4.7,3.66,0.025,0.028,0.82
12.2,7.73,10.2,363.1,45,1.87,0.07,0.086,2.16
7.7,7.08,9.46,162.8,9.2,0.98,0.086,0.017,2.91
7.3,7.98,10.6,594.5,239,5.38,0.48,0.103,4.64
11,7.6,7.04,457.2,47.1,2.23,0.949,0.157,3.55
7.1,7.99,10.74,579.6,9.8,2.82,0.522,0.113,2.92
10.2,7.96,11.62,370.6,55.2,1.73,0.025,0.075,1.43
4.1,8.15,13.37,729.2,5.7,2.62,0.138,0.026,3.89
5.7,8.3,12.06,858.3,26,4.11,0.068,0.068,1.8
4.8,8.36,18.41,934.1,35.5,4.04,0.13,0.101,3.12
6.4,8.23,13.26,1041.6,8.8,4.78,0.076,0.041,1.16
3.6,8.14,10.71,1381.7,4,4.67,0.052,0.044,1.02
5.7,8.5,12.18,865.7,4.9,2.91,0.025,0.043,1.97
5.8,8.12,14.03,948.1,3.9,4.24,0.025,0.048,0.74
4.4,8.6,15.03,872.8,8.1,3.89,0.025,0.05,12.89
5.8,7.73,15.36,912.4,18.3,2.57,0.025,0.012,10.38
10,7.92,10.28,368.7,51.8,1.67,0.025,0.082,2.51
6.7,8.82,16.44,567.5,13.4,3.25,0.067,0.063,2.58
8.8,8.09,9.46,435.5,188.1,3.32,0.267,0.078,2.32
11,7.92,9.51,295.6,13.8,1.53,0.101,0.072,2.09
8.1,7.92,8.68,446.9,47.8,1.76,0.086,0.113,1.91
24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8
5.6,8.31,12.86,424.3,286.8,2.46,0.025,0.026,1.39
9,7.78,9.94,789.5,15.4,3.43,0.444,0.136,3.88
6.3,8.62,10.71,556.6,50.3,2.55,0.393,0.081,2.24
6,7.72,8.99,607.8,31.5,2.57,0.218,0.039,2.05
8.7,8.06,9.34,642.4,24.6,2.58,0.454,0.16,2.55
9.4,7.75,10.18,373.7,25.8,1.53,0.026,0.07,2.03
5.7,7.88,11.17,447.8,18.3,2.48,0.046,0.02,0.6
6.1,7.99,9.74,493.1,11.2,2.59,0.065,0.016,0.52
7.4,7.37,9.64,388,10.3,3.18,0.245,0.054,1.03
7.3,8.86,13.87,418.3,16.4,1.98,0.025,0.03,1.57
6.7,8,11.97,385.6,9.5,2.5,0.025,0.059,1.64
7.4,7.5,10.12,795.6,36.5,4.2,0.542,0.114,3.35
7.3,8.38,10.67,2571.3,18.8,5.64,0.206,0.16,3.8
10.2,8.12,8.3,408.7,38.4,2.03,0.04,0.078,2.36
8.1,8.54,11.37,712.4,12.7,3.3,0.032,0.084,1.68
6.5,8.33,11.8,712.6,4.6,2.98,0.025,0.044,1.72
7.8,8.19,10.15,419.3,88.9,1.86,0.131,0.106,2.13
9.6,8.89,17.67,4402.1,13.4,5.64,0.025,0.131,3.06
8.1,7.97,9.44,2064.9,12.3,6.26,0.175,0.157,4.3
8.4,8.37,12.82,4032.8,17.8,6.34,0.261,0.181,5.2
8,7.92,11.98,2579.3,9.7,6.16,0.299,0.206,3.88
4.5,7.87,11.15,764.5,14,4.91,1.045,0.151,4.44
4.4,8.36,12.24,1694.3,10.4,3.89,0.098,0.072,3.72
6.3,8.33,8.45,924.4,230.2,5.39,0.488,0.224,3.29
4.1,8.18,17.31,801.1,5.1,4.11,0.522,0.148,4.04
4.6,8.84,19.11,686.8,15.5,4.6,0.025,0.073,1.24
6.2,7.44,12.76,1640.6,2.7,5.37,0.225,0.073,6.74
5.5,8.64,12.94,629.3,15.8,3.29,0.025,0.033,1.37
3.7,8.46,9.68,2677.8,13.1,6.5,0.633,0.154,4.46
7.9,7.34,10.07,2111.3,4.3,5.17,0.044,0.068,8.72
4.2,8.71,20.09,1526,3.9,5.64,0.047,0.067,3.83
4.2,7.96,13.98,790.4,12.5,4.04,0.114,0.085,4.76
4,8.25,14.77,683.4,7.8,3.81,0.146,0.037,2.57
5.4,8.34,17.7,622.4,17.9,4,0.399,0.059,3.08
5,9.22,20.88,670.5,7.7,3.74,0.028,0.034,2.81
6.5,8.63,28.98,1434.1,12.9,6.8,0.195,0.092,4.62
4.2,8.22,10.01,1412.9,12.7,4.2,0.135,0.076,3.62
5.5,8.4,15.72,2015.7,52.9,5.15,0.025,0.073,3.14
4.3,8.32,18.14,850.6,32.6,6.45,0.347,0.106,3.64
5,8.39,13.39,738.1,7.1,4.34,0.025,0.069,1.74
6.1,8.23,12.66,744,19.1,3.8,0.367,0.081,2.37
4.7,8.54,12.9,639,7.9,3.1,0.025,0.041,2.06
3.5,7.64,13.64,601.3,38.8,3.07,0.028,0.047,1.26
6.3,7.9,10.63,778.1,5.6,3.89,0.025,0.036,1.21
4.5,8.02,12.95,662.6,30.5,3.08,0.025,0.04,1
5.8,8.62,15.72,533.2,10.6,3.5,0.025,0.048,1.7
14.5,7.59,11.07,526.8,23.3,2.09,0.048,0.059,1.81
5.9,7.66,8.73,236,34.4,2.94,0.674,0.115,1.94
4.3,7.73,11.57,1161.6,31.7,4.76,0.202,0.112,2.8
4.9,8.12,8.4,999.2,8.9,3.9,0.122,0.078,2.95
5,7.91,9.56,864.1,53.7,4.72,0.177,0.158,2.31
4.8,8,13.5,660.4,22,3.77,0.096,0.073,2.29
5.2,7.87,11.74,903,6.2,4.85,0.154,0.151,2.33
7.7,8.05,10.78,475,71.3,2.53,0.16,0.097,2.72
5,7.81,10.21,796.8,10.7,4.91,0.304,0.149,2.89
5.3,8.07,10.16,792.3,35.7,4.28,0.387,0.125,3.1
4.4,7.76,11.14,831.7,40.8,5.22,0.222,0.173,2.74
5.6,7.99,11.32,1288.3,29.5,5.32,0.073,0.142,2.88
4.6,7.9,10.01,1043.1,42.1,4.11,0.244,0.128,3.14
5.8,7.84,10.73,2044.9,29.3,4.77,0.37,0.141,3.47
4,8.47,13.98,721.7,15.4,3.32,0.082,0.073,2.22
4.4,8.31,13.37,2420.4,7.2,4.96,0.239,0.165,3.33
10.1,7.65,10.95,360.2,48.3,1.61,0.061,0.093,2.11
6.9,8.56,13.02,594.2,13.4,4.49,0.025,0.042,0.79
7.2,8.18,10.19,414.9,36.1,3.19,0.047,0.047,1.57
6.1,7.96,11.42,553.1,50.8,3.82,0.248,0.1,2.32
6.8,7.77,9.07,534,68.6,3.45,0.518,0.127,2.99
9.6,7.95,10.28,352.3,52.4,1.75,0.04,0.088,2.32
6,7.82,10.42,543.2,14.1,3.02,0.213,0.081,1.86
10.3,7.97,10.65,377.4,26,1.42,0.08,0.081,1.84
