监测时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮
2024/1/3 20:00,6.6,8.5,14.09,13370.9,28.2,9.93,0.616,0.233,2.72
2024/1/4 0:00,6,8.83,21.34,13357.4,13.5,9.93,0.616,0.233,2.72
2024/1/3 16:00,3,8.91,27.73,12418.4,8.6,9.92,0.147,0.095,1.57
2024/1/2 12:00,8.3,8.04,10.14,2108,12.2,9.9,0.188,0.138,4.32
,8.1,8.09,9.82,2073.2,11.8,9.9,0.193,0.154,4.33
2024/1/1 12:00,6.5,8.88,15.56,1741,16.5,9.88,0.566,0.128,9.15
2024/1/1 20:00,7.8,8.72,14.06,2429.6,21.2,9.88,0.945,0.105,9.92
2024/1/2 0:00,7.7,8.69,13.78,2452.9,20.8,9.88,0.945,0.105,9.92
2024/1/2 12:00,2.8,8.85,24.72,12389.7,6.7,9.85,0.025,0.085,1.6
2024/1/1 12:00,2.5,7.44,16.36,1340.3,9.2,9.83,0.651,0.183,5.15
2024/1/1 16:00,2.8,7.55,18.68,1366.2,9.9,9.78,0.625,0.178,5.02
2024/1/2 20:00,2.9,7.64,20.16,1218.5,7.5,9.75,0.413,0.153,5.4
2024/1/3 0:00,2.2,7.54,17.27,1227.8,6.2,9.75,0.413,0.153,5.4
2024/1/2 20:00,10.8,9.53,8.84,801,11,9.73,0.025,0.045,1.17
2024/1/1 8:00,6.2,8.74,14.46,1693.2,16.3,9.71,0.63,0.123,9.14
2024/1/3 20:00,3.2,8.91,26.41,12412.8,12.8,9.68,0.094,0.093,1.54
2024/1/4 0:00,3.3,8.91,26.2,12393.2,13,9.68,0.094,0.093,1.54
2024/1/4 4:00,6,8.88,22.22,13135.5,15.2,9.67,0.307,0.193,2.36
2024/1/1 12:00,4.7,8.87,26.58,778.1,47.2,9.66,0.125,0.201,4.9
2024/1/2 20:00,10,8.22,8.7,474.1,14,9.65,0.371,0.054,1.26
2024/1/3 0:00,9.9,8.19,8.57,471.2,12.9,9.65,0.4,0.052,1.32
2024/1/3 16:00,7.2,8.62,23.92,1898,22,9.63,0.395,0.16,4.62
2024/1/2 8:00,8.1,8,9.75,2081.8,12.2,9.6,0.19,0.142,4.28
2024/1/1 8:00,7.6,8.1,9.8,2085.1,11.6,9.53,0.259,0.161,4.44
2024/1/4 8:00,6.4,8.53,12.77,4033.3,12.1,9.51,0.398,0.235,3.92
2024/1/1 4:00,6.2,8.85,15.26,1696.4,14.6,9.49,0.604,0.122,9.07
2024/1/2 20:00,3.3,8.87,25.97,12364.6,8.6,9.46,0.025,0.088,1.48
2024/1/3 0:00,3.2,8.84,24.72,12394.5,8.1,9.46,0.025,0.088,1.48
2024/1/1 20:00,6.6,8.76,15.41,5997.8,10.7,9.43,0.531,0.147,3.13
2024/1/2 0:00,6.3,8.76,14.84,5884.1,10.9,9.43,0.531,0.147,3.13
2024/1/3 4:00,9,7.23,8.73,479.5,22.3,9.41,0.142,0.078,5.95
2024/1/3 8:00,8.9,7.19,8.5,480.9,23.5,9.41,0.142,0.078,5.95
2024/1/1 16:00,8,8.03,10,2108.3,10.6,9.41,0.245,0.136,4.38
2024/1/2 8:00,2.9,8.83,24.35,12363.3,9.5,9.39,0.065,0.093,1.63
2024/1/4 8:00,3.2,8.89,27.86,12348.6,13.6,9.38,0.025,0.1,1.61
2024/1/4 4:00,3.5,8.92,27.22,12333.9,11.3,9.37,0.076,0.102,1.57
2024/1/1 4:00,2.6,8.82,22.86,12289.3,6.5,9.36,0.025,0.084,1.49
2024/1/1 12:00,7.9,7.97,10,2088.9,11.1,9.33,0.246,0.143,4.32
2024/1/2 12:00,5.8,8.52,13.92,6844.4,7.3,9.32,0.432,0.073,1.96
2024/1/3 4:00,2.9,8.84,24.73,12382.9,8.2,9.31,0.035,0.089,1.46
2024/1/3 8:00,2.7,8.83,24.65,12418.2,10.4,9.31,0.035,0.089,1.46
2024/1/1 8:00,2.3,8.82,23.46,12361.8,7.7,9.26,0.053,0.081,1.52
,6.6,8.93,16.05,1615.1,15.6,9.26,0.263,0.099,8.03
2024/1/1 4:00,7.7,8.09,9.73,2102.8,12.3,9.24,0.283,0.16,4.4
2024/1/1 16:00,2.7,8.84,24.4,12408.1,6.3,9.23,0.068,0.082,1.51
2024/1/1 16:00,17.1,8.72,12.41,856.7,37,9.23,0.581,0.079,6.51
2024/1/3 16:00,17.8,8.63,10.93,865.9,37.8,9.22,0.332,0.082,6.67
2024/1/1 20:00,17,8.73,12.94,815.4,27.6,9.22,0.588,0.084,6.34
2024/1/2 0:00,16.9,8.58,11.41,1021.6,23.5,9.22,0.588,0.084,6.34
2024/1/3 20:00,3.4,7.58,18.94,1269.2,9.1,9.18,0.367,0.155,5.1
2024/1/4 0:00,2.6,7.5,17.16,1292.9,7.4,9.18,0.367,0.155,5.1
,16.9,8.53,11.18,960.1,38.6,9.07,0.403,0.085,6.47
2024/1/2 8:00,6.6,8.83,15.08,1497,14.1,9.07,0.287,0.095,7.02
2024/1/2 20:00,5.2,8.35,11.12,6872.8,8.3,9.04,0.445,0.076,2.13
2024/1/2 20:00,5.2,8.35,11.12,6872.8,8.3,9.04,0.445,0.076,2.13
2024/1/3 20:00,10.2,9.11,22.26,4302,15.4,9.02,0.025,0.151,3.18
2024/1/4 0:00,9.4,9.02,20.37,4329.1,13,9.02,0.025,0.151,3.18
2024/1/4 8:00,0.7,7.38,9.09,662,6.9,9,1.004,0.006,7.9
2024/1/1 12:00,17,8.88,10.02,822.3,49.2,9,0.742,0.076,6.56
2024/1/4 8:00,5.2,8.38,11.43,6913.1,7,8.99,0.455,0.076,2.02
2024/1/1 16:00,5.3,8.94,22.28,933.6,20.8,8.99,0.229,0.154,7.1
2024/1/3 4:00,17.1,8.45,10.24,896.5,25.5,8.97,0.361,0.077,6.26
2024/1/3 8:00,17.2,8.26,9.42,833.1,54.6,8.97,0.361,0.077,6.26
2024/1/3 12:00,17.8,8.43,10.1,832.1,53.4,8.96,0.638,0.063,6.58
,2.9,8.83,24.28,12398.9,9,8.95,0.025,0.09,1.53
2024/1/1 20:00,2.9,8.85,24.68,12377.7,8,8.91,0.027,0.085,1.47
2024/1/2 0:00,2.9,8.84,24.75,12375.8,9.6,8.91,0.027,0.085,1.47
2024/1/1 16:00,9.6,7.79,11.73,314.9,6.2,8.88,0.025,0.025,1.69
2024/1/3 16:00,5.9,8.39,11.66,6898.6,7.1,8.86,0.458,0.067,1.96
2024/1/3 20:00,17.5,8.46,10.4,835.3,37.7,8.85,0.36,0.064,6.2
2024/1/4 0:00,17.2,8.37,9.97,831,43.8,8.85,0.36,0.064,6.2
2024/1/1 8:00,16.8,8.35,9.49,777.6,60.9,8.78,0.549,0.051,6.94
2024/1/3 20:00,6,8.39,11.69,6886.6,7,8.76,0.451,0.068,1.98
2024/1/3 20:00,6,8.39,11.69,6886.6,7,8.76,0.451,0.068,1.98
2024/1/1 12:00,2.4,8.83,23.69,12388.2,6.4,8.76,0.084,0.08,1.58
2024/1/1 20:00,2.9,7.5,18.25,1341.7,8.2,8.74,0.635,0.168,4.86
2024/1/2 0:00,2.4,7.43,15.74,1358,7.2,8.74,0.635,0.168,4.86
2024/1/1 4:00,16.9,8.65,10.61,861.5,38.4,8.73,0.542,0.077,6.33
2024/1/4 4:00,17.1,8.22,9.18,857.7,43.8,8.71,0.404,0.086,6.36
2024/1/3 4:00,2,7.49,16.59,1234.1,5.8,8.7,0.401,0.139,5.27
2024/1/3 8:00,2.1,7.47,16.37,1233.3,6.3,8.7,0.401,0.139,5.27
2024/1/4 4:00,6.7,8.53,12.84,4072.9,10.8,8.69,0.381,0.192,3.66
2024/1/2 8:00,5.7,8.52,12.34,5266.3,8.3,8.69,0.561,0.113,2.95
2024/1/2 16:00,6.5,8.49,13.5,6684.4,6.4,8.68,0.38,0.056,1.94
2024/1/4 8:00,17.1,8.26,9.62,858.4,36,8.66,0.418,0.078,6.34
2024/1/3 4:00,4.7,8.36,11.71,6838.7,7.8,8.65,0.43,0.068,2.02
2024/1/3 4:00,4.7,8.36,11.71,6838.7,7.8,8.65,0.43,0.068,2.02
2024/1/2 12:00,6.6,8.83,13.41,1310.3,13.5,8.64,0.245,0.082,6.01
2024/1/3 16:00,6.4,8.48,15.68,2359.6,16.9,8.64,0.06,0.094,1.4
2024/1/3 16:00,1.5,8.15,16.23,15513.6,5.1,8.57,0.175,0.046,7.62
2024/1/1 12:00,12.3,8.45,6.57,589.5,18.7,8.57,0.025,0.087,1.61
2024/1/3 20:00,3.7,8.73,13.07,2337.5,114.8,8.56,0.557,0.146,8.68
2024/1/4 0:00,3.8,8.61,14.02,2348.2,130.5,8.56,0.557,0.146,8.68
2024/1/4 4:00,4.8,8.38,11.82,6900.5,6.5,8.54,0.439,0.067,1.97
2024/1/1 20:00,8,8.04,9.95,2153.1,14.4,8.54,0.255,0.143,4.43
2024/1/2 0:00,8,8.15,10.05,2101,12.7,8.54,0.255,0.143,4.43
2024/1/2 8:00,16.9,8.48,10.98,953.8,34.9,8.54,0.517,0.069,6.54
2024/1/2 16:00,17.2,8.6,10.38,878.8,22.2,8.53,0.397,0.073,6.19
2024/1/4 4:00,18.5,7.28,8.36,117.7,18.1,8.5,0.042,0.065,1.51
2024/1/1 12:00,8.9,7.83,10.62,1515.8,15.4,8.49,1.175,0.157,12.11
2024/1/3 12:00,9.9,8.18,8.58,474.3,13.1,8.48,0.365,0.05,1.35
2024/1/2 12:00,17.2,8.6,11.32,927.7,21.6,8.47,0.515,0.07,7.37
2024/1/2 16:00,6.6,8.79,14.4,1342.2,16,8.45,0.258,0.088,6.11
2024/1/3 12:00,5.1,8.37,11.66,6864.2,6.9,8.45,0.434,0.059,1.92
2024/1/4 8:00,2.4,7.42,15.25,1315.1,6.7,8.45,0.38,0.138,4.97
2024/1/2 20:00,17.3,8.63,11.54,929.3,27.1,8.43,0.33,0.072,6.24
2024/1/3 0:00,17.2,8.53,10.66,864.6,25.9,8.43,0.33,0.072,6.24
2024/1/1 12:00,4.9,8.83,20.53,957,22.2,8.43,0.288,0.17,7.27
2024/1/2 16:00,5.6,8.84,22.13,897.4,23.1,8.42,0.232,0.152,6.82
2024/1/1 16:00,12.3,8.57,6.82,602.4,19.5,8.4,0.127,0.095,1.28
2024/1/4 4:00,2.4,7.45,15.82,1308.4,6.9,8.39,0.382,0.146,4.85
2024/1/2 16:00,9.5,8.93,18.94,4460.8,19.5,8.38,0.025,0.141,3.06
2024/1/1 4:00,4.4,8.76,26.68,793,41.7,8.37,0.142,0.144,4.4
2024/1/1 8:00,4.3,8.72,26.5,786.1,40,8.35,0.143,0.16,4.61
2024/1/4 4:00,8.2,7.75,10.04,1568.4,8.1,8.33,1.653,0.157,12.44
2024/1/1 12:00,4.8,8.38,12.11,2220,15.9,8.33,0.433,0.174,5.92
2024/1/2 16:00,6.5,8.55,13.14,4895.3,8.2,8.32,0.481,0.095,2.79
2024/1/2 20:00,1.4,8.11,17.11,13509.4,10.1,8.29,0.215,0.103,7.72
2024/1/3 0:00,1,8.04,15.66,10794.8,6.6,8.29,0.215,0.103,7.72
2024/1/1 12:00,6.4,8.78,21.87,626.5,45,8.28,0.58,0.218,3.47
2024/1/3 16:00,8.7,7.91,11.43,1573.1,11.2,8.26,1.012,0.159,11.61
2024/1/2 16:00,9,8.01,11.92,1555,13.1,8.23,1.223,0.175,11.36
2024/1/2 20:00,8.8,8,12.23,1546.9,13,8.22,1.113,0.175,11.09
2024/1/3 0:00,8.6,7.94,11.25,1564.7,11,8.22,1.113,0.154,11.09
2024/1/1 8:00,7.9,8.8,16.35,4116.3,11.6,8.22,0.086,0.174,3.55
2024/1/1 16:00,6.3,8.73,20.38,629.4,39.5,8.2,0.62,0.22,3.36
,7.9,8.66,14.21,2311.6,21.1,8.2,0.972,0.104,9.87
2024/1/2 16:00,7.9,8.47,11.8,431,78.5,8.18,0.111,0.11,2.76
2024/1/3 4:00,5.9,8.52,12.8,4553.2,8.8,8.17,0.422,0.118,2.92
2024/1/3 8:00,5.6,8.51,12.8,4513.2,8.4,8.17,0.422,0.118,2.92
2024/1/2 12:00,6,8.53,12.94,5143.8,7.9,8.16,0.538,0.1,2.92
,5.8,8.55,12.15,5432,8.3,8.16,0.56,0.113,2.96
2024/1/1 12:00,5.1,8.15,13.51,543.2,13.4,8.15,0.025,0.152,3.34
2024/1/1 4:00,6.2,8.46,13.73,6359.8,6.2,8.13,0.316,0.056,1.74
2024/1/4 4:00,14.6,6.87,11.1,82.3,19.3,8.13,0.033,0.017,0.81
2024/1/1 16:00,7.6,8.48,12.08,429.7,90.2,8.12,0.131,0.119,2.85
2024/1/1 20:00,12.3,8.57,6.78,602.4,19.8,8.1,0.039,0.088,1.15
2024/1/4 8:00,18.5,7.31,7.95,117.7,17.9,8.07,0.043,0.06,1.5
,6.8,8.51,13.87,6500.7,5.8,8.07,0.352,0.052,1.74
2024/1/2 8:00,6.2,8.49,14.07,6515.2,6.1,8.07,0.353,0.051,1.77
2024/1/3 20:00,13.5,8.07,8.91,403.1,872.9,8.03,1.232,0.838,4.21
2024/1/3 20:00,13.5,8.07,8.91,403.1,872.9,8.03,1.232,0.838,4.21
2024/1/2 20:00,12.4,8.59,6.82,603,16.6,8.02,0.025,0.087,1.47
2024/1/4 8:00,8,7.8,9.71,1606.5,8.3,8.01,1.382,0.148,12.57
2024/1/1 20:00,6.5,8.51,14.26,6444.1,7.5,8.01,0.339,0.051,1.92
2024/1/1 20:00,6.5,8.51,14.26,6444.1,7.5,8.01,0.339,0.051,1.92
2024/1/2 8:00,2.1,7.4,14.35,1309.4,6.8,8.01,0.569,0.146,5.07
2024/1/1 8:00,6.3,8.42,13.64,6328.5,5.7,8,0.299,0.054,1.62
2024/1/1 12:00,6.5,8.47,14.24,6393.8,5.7,7.99,0.314,0.046,1.64
2024/1/3 20:00,8.6,7.93,11.47,1559.4,9.4,7.98,1.154,0.16,11.92
2024/1/4 0:00,8.3,7.86,10.7,1539.1,9.7,7.98,1.154,0.16,11.92
2024/1/1 16:00,6.6,8.5,14.28,6424.3,5.8,7.98,0.329,0.05,1.74
2024/1/2 16:00,6.6,8.28,12.05,2386.1,20.9,7.96,0.143,0.096,1.34
2024/1/3 20:00,8.7,8.64,12.68,433.1,56.3,7.96,0.051,0.094,2.32
2024/1/4 0:00,8.4,8.52,12.05,434.1,60.3,7.96,0.051,0.094,2.32
2024/1/1 12:00,6.3,8.41,8.33,1650.4,5.4,7.96,0.429,0.036,1.05
2024/1/2 16:00,4.8,8.38,12.46,2188.3,21.9,7.95,0.398,0.159,5.83
2024/1/2 0:00,12.4,8.56,6.65,602.6,19.3,7.95,0.025,0.095,1.06
2024/1/2 16:00,6.6,8.68,22.71,622.9,31.1,7.93,0.513,0.219,3.14
2024/1/2 16:00,12.4,8.63,7.14,602.7,16.5,7.93,0.04,0.083,1.4
2024/1/3 16:00,6.7,8.74,22.84,621.9,46,7.91,0.5,0.223,3.27
2024/1/1 20:00,6.3,8.7,21.02,634,33.2,7.91,0.576,0.211,3.28
2024/1/2 0:00,6.3,8.67,20.2,633.8,29.8,7.91,0.576,0.211,3.28
,12.4,8.55,6.55,602.5,19.4,7.9,0.025,0.099,1.1
2024/1/1 16:00,4.9,8.39,12.37,2208.9,11.5,7.89,0.415,0.164,5.85
2024/1/4 8:00,4.1,8.2,12.98,2752.3,56.8,7.88,0.432,0.17,5.72
2024/1/2 8:00,13.3,8.25,8.64,710.7,872.1,7.88,1.32,0.864,4.25
2024/1/3 20:00,6.3,8.35,13.32,2351.2,16.4,7.87,0.055,0.088,1.29
2024/1/4 0:00,6.2,8.35,13.4,2361.6,14.8,7.87,0.076,0.088,1.29
2024/1/1 20:00,7.1,8.7,16.66,930.2,15.5,7.87,0.243,0.143,7.86
2024/1/2 0:00,7.1,8.63,16.35,925.1,15.3,7.87,0.243,0.143,7.86
