监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024/1/17 20:00,Ⅴ,0.7,8.36,15.48,43085.9,40.7,10.71,0.384,0.049,6.8
2024/1/17 20:00,Ⅰ,9.4,8.28,13.37,590.5,1,0.75,0.025,0.005,5.72
2024/1/17 20:00,Ⅱ,4.3,8.07,16.87,733.4,1.2,2.56,0.025,0.005,3.62
2024/1/17 20:00,Ⅱ,3.9,8.42,19.21,1102.5,4.6,2.48,0.128,0.041,5.93
2024/1/17 20:00,Ⅱ,3.7,8.61,19.86,1190.2,5.5,3.31,0.035,0.028,10.92
2024/1/17 20:00,Ⅳ,1.2,8.28,14.13,30790.5,18.4,4.9,1.149,0.114,7.14
2024/1/17 20:00,Ⅲ,7.7,6.07,8.31,39535,34.2,5.3,0.261,0.032,2.95
2024/1/17 20:00,Ⅰ,5.7,8.5,11.16,641.2,3.8,1.65,0.025,0.005,4.34
2024/1/17 20:00,Ⅱ,4.4,8.61,16.48,1162.6,7.3,3.57,0.203,0.042,5.8
2024/1/17 20:00,Ⅲ,3.5,8.76,14.94,1889.9,25.8,4.17,0.838,0.064,8.43
2024/1/17 20:00,Ⅲ,4.1,8.59,13.31,1567.8,22.4,5.06,0.699,0.127,10.7
2024/1/17 20:00,Ⅲ,7,8.12,11.96,857.4,8.3,2.43,0.156,0.116,9.84
2024/1/17 20:00,Ⅱ,3.8,8.12,12.62,1689.7,8.9,2.71,0.063,0.042,5.2
2024/1/17 20:00,Ⅱ,4.6,8.34,12.02,1659.8,6.6,2.82,0.025,0.053,5.99
2024/1/17 20:00,Ⅰ,4.4,8.56,14.32,692.9,1.7,1.91,0.025,0.008,5.28
2024/1/17 20:00,Ⅱ,3.6,8.64,12.48,581.6,9.1,0.47,0.025,0.021,7.07
2024/1/17 20:00,Ⅱ,2.4,8.19,10.24,1139.7,6.5,1.41,0.384,0.005,9.05
2024/1/17 20:00,Ⅲ,0.4,8.83,11.11,1484.1,9.1,2.21,0.611,0.129,9.65
2024/1/17 20:00,Ⅲ,2.5,8.05,7.53,935.1,22.4,1.59,0.565,0.075,7.11
2024/1/17 20:00,Ⅰ,1.8,8.44,13.99,693.7,1.1,1.27,0.025,0.005,8.39
2024/1/17 20:00,Ⅰ,0.9,8.49,12.31,540.9,0.5,1.04,0.025,0.005,2.78
2024/1/17 20:00,Ⅰ,2.5,8.34,13.12,1194.2,0.3,1.11,0.025,0.005,2.59
2024/1/17 20:00,Ⅱ,2.4,8.6,14.12,997.3,2.1,1.45,0.283,0.047,8.02
2024/1/17 20:00,劣Ⅴ,2,8.23,12.62,1808.3,1.5,2.2,2.898,0.068,9.95
2024/1/17 20:00,Ⅰ,0.2,7.95,10.7,560.2,1.3,1.05,0.025,0.005,5.49
2024/1/17 20:00,Ⅱ,1.8,8.03,11.49,1005.8,12.4,2.82,0.429,0.074,8.81
2024/1/17 20:00,Ⅱ,3.3,8.23,13.16,1007.9,1.2,1.1,0.203,0.048,15.59
2024/1/17 20:00,Ⅰ,0.2,7.97,11.39,692,2.9,1.14,0.025,0.005,8.25
2024/1/17 20:00,Ⅳ,3.6,6.94,3.62,687.1,2.6,0.95,0.073,0.027,11.8
2024/1/17 20:00,Ⅰ,0.8,8.11,13.11,1058.1,5.3,1.19,0.079,0.012,8.54
2024/1/17 20:00,Ⅰ,2.6,7.66,9.72,525.8,1.1,0.25,0.025,0.012,10.16
2024/1/17 20:00,Ⅲ,6.4,7.75,7.27,2485.1,12.7,5.08,0.15,0.042,1.08
2024/1/17 20:00,Ⅲ,2.6,8.86,27.47,2162.4,2.3,5.03,0.075,0.062,2.38
2024/1/17 20:00,Ⅲ,9.7,7.79,8.24,1508.6,10.1,4.16,0.113,0.028,1.38
2024/1/17 20:00,Ⅳ,4.2,8.84,27,10142.7,22.5,9.74,0.573,0.116,2.49
2024/1/17 20:00,Ⅱ,3.6,7.57,11.01,694.9,5.7,2.34,0.025,0.016,1.18
2024/1/17 20:00,Ⅱ,2.8,8.22,12.97,1203.4,4.3,3.41,0.113,0.068,8.99
2024/1/17 20:00,Ⅱ,3.5,8.08,14.81,1034.4,2.8,3.93,0.159,0.084,9.86
2024/1/17 20:00,Ⅲ,4.6,8.48,16.41,1383.6,3.8,4.59,0.2,0.046,2.08
2024/1/17 20:00,Ⅱ,5.2,8.09,12.23,989.8,3.1,3.33,0.056,0.037,4.81
2024/1/17 20:00,Ⅴ,1.7,7.88,13.5,1194,1.1,3.84,1.848,0.079,10.96
2024/1/17 20:00,Ⅱ,5,8.54,12.77,733,13,2.57,0.102,0.019,3.12
2024/1/17 20:00,Ⅰ,2.8,8.78,11.89,685.1,4.4,1.87,0.025,0.007,3.78
2024/1/17 20:00,Ⅲ,5.7,8.39,9.32,1053.3,2,5.44,0.025,0.014,0.67
2024/1/17 20:00,Ⅲ,3.6,8.03,12.04,1384.3,15.1,4.65,0.614,0.103,7.75
2024/1/17 20:00,Ⅰ,2.4,8.44,11.6,772,5.9,1.48,0.025,0.005,2.02
2024/1/17 20:00,Ⅲ,1.6,8.25,9.94,1072.5,12.8,2.24,0.666,0.182,13.09
2024/1/17 20:00,Ⅱ,3.1,8.4,11.75,569.1,7,1.19,0.297,0.065,7.1
2024/1/17 20:00,Ⅱ,7,8.27,8.78,1424.4,2.9,1.63,0.025,0.059,0.62
2024/1/17 20:00,Ⅱ,1.2,8.41,10.6,1053.8,7.5,2.2,0.182,0.059,8.82
2024/1/17 20:00,Ⅲ,2,8.18,7.97,1294.1,22.1,3.12,0.68,0.155,4.51
2024/1/17 20:00,Ⅱ,0.7,8.07,9.14,2080.3,4.9,3.81,0.326,0.047,7.52
2024/1/17 20:00,Ⅱ,3.7,8.55,11.54,617.2,11.2,0.87,0.279,0.04,5.48
2024/1/17 20:00,Ⅰ,2.4,8.07,11.75,758.9,7,1.33,0.044,0.018,5.08
2024/1/17 20:00,Ⅱ,4.6,7.62,8.59,821,4.2,2.05,0.056,0.021,5.84
2024/1/17 20:00,Ⅱ,6,7.79,10.43,725.5,3.7,2.19,0.121,0.023,1.32
2024/1/17 20:00,Ⅱ,4.4,7.92,10.94,1153.7,8.3,2.49,0.487,0.062,10.3
2024/1/17 20:00,Ⅱ,4.2,8.05,11.35,524.4,1.3,2.5,0.04,0.013,1.4
2024/1/17 20:00,Ⅱ,3,7.75,9.46,937.6,12.3,3.22,0.247,0.036,6.17
2024/1/17 20:00,Ⅱ,5.8,7.98,11.25,928.2,7.1,0.98,0.025,0.026,4.82
2024/1/17 20:00,Ⅱ,3.3,8.13,11.56,1186.5,6.4,2.79,0.182,0.044,4.1
2024/1/17 20:00,Ⅱ,0.7,7.6,6.4,856.4,3,1.84,0.104,0.011,2.69
2024/1/17 20:00,Ⅰ,2.4,8.07,12.17,697.9,4.2,0.73,0.025,0.01,3.88
2024/1/17 20:00,Ⅴ,0.5,8.06,11.4,2697.1,20,4.71,1.868,0.059,13.82
2024/1/17 20:00,Ⅳ,2.5,8.37,12.13,1656.6,51.9,5,1.257,0.139,8.14
2024/1/17 20:00,Ⅱ,1.5,8.56,14.04,951.6,17.5,2.45,0.111,0.034,4.07
2024/1/17 20:00,Ⅱ,5.2,8.09,11.04,893.8,26.7,1.21,0.274,0.02,6.24
2024/1/17 20:00,Ⅳ,5,7.74,10.38,1390.5,32.7,5.54,1.282,0.168,5.92
2024/1/17 20:00,Ⅱ,7.2,8.2,8.93,822.6,5.9,0.86,0.187,0.019,2.26
2024/1/17 20:00,Ⅳ,1.4,8.29,10.67,791.4,30.4,1.7,1.415,0.072,6.95
2024/1/17 20:00,Ⅳ,0.6,7.97,8.92,1037.7,25.9,2.36,1.47,0.158,8.44
2024/1/17 20:00,Ⅲ,4.1,7.82,10.21,635.7,7.5,1.06,0.508,0.057,5.4
2024/1/17 20:00,Ⅰ,7.7,7.95,9.39,521.5,2.9,1.18,0.025,0.011,3.93
2024/1/17 20:00,Ⅴ,3.1,8.58,13.15,1483,39.9,3.79,1.538,0.101,8.02
2024/1/17 20:00,Ⅱ,1.5,8.44,11.25,1202.1,19.5,2.34,0.364,0.052,8.28
2024/1/17 20:00,Ⅳ,0.4,8.18,8.42,700.2,18.5,2.27,1.394,0.161,6.58
2024/1/17 20:00,Ⅱ,0.4,8.14,10.22,776,23.3,1.04,0.14,0.045,7.1
2024/1/17 20:00,Ⅲ,0.7,8.34,10.95,1454.6,15,2.37,0.025,0.12,15.53
2024/1/17 20:00,Ⅳ,0.7,7.99,11.43,1161.7,78.4,2.47,0.44,0.212,7.31
2024/1/17 20:00,Ⅱ,1.3,8.38,9.1,1619.5,15.7,1.22,0.025,0.078,9.22
2024/1/17 20:00,Ⅰ,1.1,8.13,12.03,597,1.5,1.52,0.025,0.005,2.91
2024/1/17 20:00,Ⅰ,2.3,8.37,10.67,1078,142.3,1.41,0.071,0.011,3.34
2024/1/17 20:00,Ⅱ,2.6,7.64,9.69,1889.9,5.5,3.39,0.274,0.04,3.59
2024/1/17 20:00,Ⅰ,2.8,7.34,11.2,1037.6,129.8,1.61,0.077,*,*
2024/1/17 20:00,Ⅱ,0.5,8.3,12.71,968.4,548.8,1.12,0.025,0.025,2.81
2024/1/17 20:00,Ⅲ,7.4,6.77,5.72,117.9,2.5,1.49,0.034,0.026,0.16
2024/1/17 20:00,Ⅱ,4.6,7.11,6.15,243.3,11,2.99,0.025,0.063,0.94
2024/1/17 20:00,Ⅱ,0.8,8.3,12.55,980.9,53,1.76,0.025,0.059,3.59
2024/1/17 20:00,Ⅰ,2.7,7.96,9.21,871,13,1.09,0.025,0.007,5.77
2024/1/17 20:00,Ⅰ,0.5,8.47,9.74,980.1,36.6,0.61,0.076,0.014,3.13
2024/1/17 20:00,Ⅲ,10.8,7.11,8.26,998,1.7,5.42,0.526,0.09,8.38
2024/1/17 16:00,Ⅲ,7.3,7.49,12.61,953.4,3,3.02,0.678,0.132,6.98
2024/1/17 20:00,Ⅲ,3.4,7.26,10.77,691.2,12.5,2.78,0.643,0.048,7.62
2024/1/17 20:00,Ⅲ,4.1,7.34,11.48,699.5,12.9,2.2,0.626,0.065,7.16
2024/1/17 20:00,Ⅱ,1.6,7.4,11.03,463.6,0.2,1.29,0.054,0.03,2.72
2024/1/17 20:00,Ⅳ,2,7.74,13.21,581.1,5.2,3.12,1.283,0.112,8.79
2024/1/17 20:00,Ⅱ,0.5,7.97,12.95,526.7,3.5,3.1,0.262,0.071,8.83
2024/1/17 20:00,Ⅱ,2.1,7.97,12.32,667.5,4.6,2.2,0.381,0.097,10.15
2024/1/17 20:00,Ⅰ,4.2,7.41,11.21,124.9,1.1,1.99,0.025,0.01,2.65
2024/1/17 20:00,Ⅱ,4,7.38,13.98,241.6,5.5,0.73,0.138,0.086,6.02
2024/1/17 16:00,Ⅳ,1.1,7.72,8.71,779.7,6.2,2.3,1.194,0.07,6.48
2024/1/17 20:00,Ⅰ,2.1,8.6,14.7,327.2,1,0.98,0.025,0.013,4.29
2024/1/17 20:00,Ⅱ,1.1,8.48,10.23,919.7,32.8,2.66,0.15,0.076,11.64
2024/1/17 20:00,Ⅰ,1.4,7.84,12.56,411.1,0.6,0.46,0.025,0.014,5.22
2024/1/17 20:00,Ⅱ,3.7,7.4,13.36,229,1.1,2.27,0.025,0.027,3.37
2024/1/17 20:00,Ⅱ,1.9,7.85,9.98,589.3,48.7,1.49,0.113,0.085,8.29
2024/1/17 16:00,Ⅳ,1.2,7.42,11.86,620.6,6.1,3.04,1.176,0.136,5.75
2024/1/17 16:00,Ⅰ,3.2,7.42,9.79,259.1,2.2,1.79,0.025,0.015,3.82
2024/1/17 16:00,Ⅰ,1.5,7.56,16.96,267.1,1.2,0.51,0.025,0.02,5.12
2024/1/17 16:00,Ⅰ,3.3,7.92,11.96,302.2,3.2,0.94,0.025,0.012,3.7
2024/1/17 20:00,Ⅰ,2.3,7.66,9.16,267.9,0.8,1.94,0.025,0.012,2.29
2024/1/17 20:00,Ⅰ,1,7.53,13.29,112.1,1.3,0.28,0.025,0.005,3.26
2024/1/17 20:00,Ⅱ,5.4,7.59,11.65,150.6,1.6,2.25,0.049,0.016,1.94
2024/1/17 20:00,Ⅱ,1,7.66,12.67,284,2.3,0.76,0.167,0.024,4.49
2024/1/17 20:00,Ⅰ,3.1,7.34,12.54,277.1,2.4,0.38,0.026,0.008,3.29
2024/1/17 20:00,Ⅱ,2.9,8.21,12.02,797.8,8.7,1.56,0.048,0.022,6.06
2024/1/17 20:00,Ⅱ,1.9,8.01,10.01,848.1,26.8,2.09,0.345,0.054,8.63
2024/1/17 20:00,Ⅱ,4,7.77,14.36,916,3.4,1.69,0.154,0.022,23.05
2024/1/17 20:00,Ⅰ,3.8,8.03,13.63,423.9,11.3,1.2,0.025,0.015,1.91
2024/1/17 16:00,Ⅱ,2.3,8.45,12.96,1343.4,3.4,2.62,0.345,0.096,14.26
2024/1/17 20:00,劣Ⅴ,4.4,7.33,0.9,1314.8,8.7,3.66,1.462,0.087,18.41
2024/1/17 20:00,Ⅰ,1.3,6.56,14.66,294.7,2.1,0.48,0.025,0.011,8.6
2024/1/17 20:00,Ⅱ,4,7.58,14.52,475.9,6.4,1.77,0.197,0.031,13.92
2024/1/17 20:00,劣Ⅴ,2.4,7.44,10.87,1050.7,19.7,2.94,2.058,0.119,8.35
2024/1/17 20:00,Ⅰ,0.9,7.95,9.01,468,0.9,0.25,0.025,0.005,4.3
2024/1/17 20:00,Ⅲ,1.4,7.74,11.06,640.9,9.3,1.63,0.657,0.031,6.09
2024/1/17 20:00,Ⅰ,1.6,7.95,8.9,531.2,1.1,0.78,0.025,0.012,6.94
2024/1/17 20:00,Ⅴ,2.6,7.8,22.13,1381.8,7.6,12.89,0.286,0.199,5.35
2024/1/17 16:00,Ⅲ,3.5,7.91,12.28,1201,26.8,3.69,0.724,0.076,10.1
2024/1/17 16:00,Ⅲ,2.4,7.69,12.31,797.9,22.2,2.7,0.626,0.063,6.91
2024/1/17 20:00,Ⅲ,3.2,7.71,11.49,946.7,24.5,3.14,0.562,0.06,6.7
2024/1/17 20:00,Ⅲ,1.5,8.03,15.12,1320.8,8.6,3.33,0.928,0.087,21.61
2024/1/17 16:00,Ⅲ,3.6,7.93,12.52,626.4,4.6,2.06,0.549,0.094,10.31
2024/1/17 20:00,Ⅲ,1.9,7.26,6.45,919.2,14.4,2.74,0.7,0.082,10.89
2024/1/17 16:00,Ⅲ,0.8,7.48,12.24,800.3,63.9,2.75,0.811,0.052,7.7
2024/1/17 20:00,Ⅰ,1.9,7.95,11.66,363.5,4.5,1.91,0.038,0.016,6.1
2024/1/17 20:00,Ⅱ,2.6,7.3,9.68,440.3,2.1,0.92,0.04,0.027,7.39
2024/1/17 16:00,Ⅱ,2.3,8.38,16.38,578.4,8,2.09,0.061,0.018,9.53
2024/1/17 20:00,Ⅱ,0.3,7.05,10.32,501.9,10.8,1.42,0.188,0.046,8.32
2024/1/17 20:00,Ⅲ,0.7,7.55,10.14,639.4,5.5,3.84,0.99,0.1,8.37
2024/1/17 20:00,Ⅱ,1.6,6.9,10.33,294.4,3,0.6,0.042,0.05,7.75
2024/1/17 16:00,Ⅰ,1.7,8.16,13.92,934.3,3.3,1.6,0.025,0.016,13.78
2024/1/17 16:00,Ⅲ,0.5,8.04,13.18,1035.8,7.6,2.63,0.789,0.106,11.18
2024/1/17 20:00,Ⅴ,1,8.16,12.18,1336.9,11.5,2.17,1.749,0.072,24.88
2024/1/17 20:00,Ⅰ,6,7.76,10.99,467.8,3.3,0.61,0.025,0.013,4.74
2024/1/17 20:00,Ⅰ,3.9,7.1,9.92,964.8,7.3,0.9,0.025,0.02,14.61
2024/1/17 16:00,Ⅱ,1.6,7.71,11.39,696.3,2.5,1.87,0.358,0.075,11.9
2024/1/17 20:00,Ⅱ,2.5,7.83,13.39,780.9,1.2,1.52,0.025,0.024,15.1
2024/1/17 16:00,Ⅱ,2.5,8.31,14.27,323.7,18.7,3.3,0.035,0.062,2.89
2024/1/17 16:00,Ⅲ,0.8,7.57,9.64,915.4,26.8,4.56,0.555,0.132,8.42
2024/1/17 20:00,Ⅳ,2.6,7.68,7.38,683.8,8.6,4.18,1.017,0.137,5.65
2024/1/17 20:00,Ⅱ,7.1,7.46,7.54,304.8,8.4,3.53,0.124,0.085,3.19
2024/1/17 20:00,Ⅱ,2.5,7.84,12.64,353.2,2.6,2.9,0.079,0.027,2.03
2024/1/17 20:00,Ⅱ,4.9,7.15,6.01,543.6,10.6,2.26,0.484,0.079,4.34
2024/1/17 20:00,Ⅱ,3.3,7.24,11.23,241,4.7,3.41,0.133,0.045,2.76
2024/1/17 20:00,Ⅲ,5,7.24,7.91,111,3,4.28,0.025,0.028,1.5
2024/1/17 20:00,Ⅲ,1.7,7.3,10.98,116.4,2,4.87,0.025,0.024,1.55
2024/1/17 20:00,Ⅱ,1,6.98,6.65,462.3,4.4,1.25,0.397,0.046,5.97
2024/1/17 20:00,Ⅱ,3.8,8.02,13.56,227.2,3.2,3.19,0.025,0.029,2.37
2024/1/17 20:00,Ⅲ,7,7.22,9.04,199.3,7,3.65,0.025,0.034,2.32
2024/1/17 20:00,Ⅱ,2.7,7.37,10.79,229,6.9,2.22,0.095,0.039,3.16
2024/1/17 20:00,Ⅱ,0.2,7.97,12.1,247,3.6,3.09,0.107,0.036,2.71
2024/1/17 20:00,Ⅱ,0.5,6.49,8.43,248.7,2.6,1.39,0.487,0.038,3.43
2024/1/17 20:00,Ⅱ,3.7,7.39,8.26,407.5,3.2,1.36,0.131,0.046,5.25
2024/1/17 20:00,Ⅱ,4,7.77,12.14,658.8,22.2,2.72,0.285,0.066,7.13
2024/1/17 20:00,Ⅱ,1,7.43,6.23,994.1,3.6,2.59,0.483,0.098,12.84
2024/1/17 20:00,Ⅳ,1,7.71,9.87,1114.2,16.6,5.01,1.173,0.173,12.48
2024/1/17 20:00,Ⅴ,4.3,7.33,5.83,1140.4,9.2,4.77,1.533,0.099,7.84
2024/1/17 20:00,Ⅱ,4.8,7.08,9.71,122.4,3.2,2.16,0.025,0.012,1.37
2024/1/17 20:00,Ⅰ,3.8,7.53,11.44,119.2,2.3,1.63,0.025,0.01,1.74
2024/1/17 20:00,Ⅰ,7.7,8.06,10.1,258.2,1.3,0.25,0.025,0.02,1.13
2024/1/17 20:00,Ⅱ,1.2,7.26,11.14,262.4,11.1,3.55,0.269,0.048,2.88
2024/1/17 16:00,Ⅱ,2.7,6.85,10.47,203.8,33.5,3.2,0.146,0.089,2.55
2024/1/17 20:00,Ⅳ,4.3,8.01,11.77,621.4,5.2,7.8,0.109,0.061,1
2024/1/17 20:00,Ⅱ,2,7.26,12.21,276.4,4.5,2.8,0.084,0.044,2.55
2024/1/17 20:00,Ⅱ,1.9,6.93,9.72,211,4.1,2.66,0.158,0.05,2.56
2024/1/17 20:00,Ⅲ,3,7.44,9.59,100.6,4.9,0.88,0.025,0.128,0.82
2024/1/17 20:00,Ⅱ,2.6,6.9,9.79,263.4,2.6,1.74,0.196,0.044,3.42
2024/1/17 20:00,Ⅱ,4.6,7.49,10.85,435.5,3.8,2.8,0.372,0.075,4.71
2024/1/17 20:00,Ⅱ,2.1,7.05,10.17,221.8,16,2.65,0.143,0.039,0.05
2024/1/17 20:00,Ⅲ,1.8,7.34,13.35,356.8,3.4,2.11,0.978,0.136,3.85
2024/1/17 20:00,Ⅳ,10,7.1,9.74,161.8,2.2,2.62,0.809,0.277,3.53
2024/1/17 20:00,Ⅲ,1.1,8.12,9.86,140.6,4,0.68,0.025,0.102,0.97
2024/1/17 20:00,Ⅳ,5.9,6.78,4.51,365.8,8.4,2.3,0.403,0.238,2.49
2024/1/17 20:00,Ⅲ,3.5,7.31,11.69,74.5,0.8,4.57,0.028,0.019,1.65
2024/1/17 20:00,Ⅱ,0.7,7.25,9.58,351.4,17,3.07,0.213,0.045,3.25
2024/1/17 20:00,Ⅳ,0.9,7.09,7.2,570.4,12.1,2.65,1.475,0.15,5.91
2024/1/17 20:00,Ⅲ,1.9,7.06,5.34,874.8,17.6,3.77,0.727,0.092,5.55
2024/1/17 20:00,Ⅱ,3.7,7.46,9.37,322.7,15.1,3.18,0.216,0.05,3.27
2024/1/17 20:00,Ⅲ,2.2,6.81,6.24,156.1,5.3,2.11,0.031,0.119,1.62
2024/1/17 20:00,Ⅱ,1.4,6.56,7.84,174.4,48.1,2.7,0.025,0.073,1.15
2024/1/17 20:00,Ⅲ,9.5,6.94,9.84,248.1,20.8,5.5,0.025,0.027,0.52
2024/1/17 20:00,Ⅱ,1.3,6.88,6.15,567.3,25.3,3.36,0.123,0.054,3.96
2024/1/17 20:00,Ⅳ,2.9,6.63,8.19,123.6,3.2,7.16,0.026,0.013,0.46
2024/1/17 20:00,Ⅱ,1.3,6.95,7.59,161.4,8.4,1.85,0.112,0.046,0.95
2024/1/17 20:00,Ⅱ,1.7,7.35,12.78,329.8,11.4,3.9,0.224,0.093,3.05
2024/1/17 20:00,Ⅲ,3.8,7.24,9.57,300.8,35.7,4.16,0.136,0.072,1.94
2024/1/17 20:00,Ⅲ,0.7,6.5,5.12,173.1,10.6,3.73,0.067,0.033,1.68
2024/1/17 20:00,Ⅲ,2.9,6.24,6.02,187.5,8.9,1.46,0.782,0.074,3.28
2024/1/17 20:00,Ⅱ,1.7,7.04,10.17,318.2,8.2,2.78,0.174,0.046,2.98
2024/1/17 20:00,Ⅱ,1.8,6.28,8.82,189.4,3.1,2.79,0.13,0.025,2.85
2024/1/17 20:00,Ⅱ,2.7,7.25,9.77,357.6,7.4,3.6,0.203,0.047,3.38
2024/1/17 20:00,Ⅲ,0.7,7.52,11.24,244.3,6.1,5.03,0.116,0.034,2.17
2024/1/17 20:00,Ⅲ,2.4,7.4,9.02,372.1,8.7,4.38,0.159,0.052,3.24
2024/1/17 20:00,Ⅱ,3.3,6.56,6.38,376,6.1,3.38,0.346,0.053,2.83
2024/1/17 20:00,Ⅱ,0.9,6.92,10.61,191,4.1,2.71,0.082,0.059,2.99
2024/1/17 20:00,Ⅳ,3.9,7.4,10.78,136.4,7.2,3.85,0.025,0.054,1.93
